"D","assigned_pct","unassigned_pct"
0,0.0062204528489674,99.993779547151
1,0.136849962677283,99.8631500373227
2,0.643816869868126,99.3561831301319
3,1.92211993033093,98.0778800696691
4,4.24234884299577,95.7576511570042
5,7.43344115451605,92.566558845484
6,12.2294103010699,87.7705896989301
7,24.9129136601145,75.0870863398855
8,43.3876586215477,56.6123413784523
9,50.1337397362528,49.8662602637472
10,70.9411545160488,29.0588454839512
11,76.1694451356059,23.8305548643941
12,89.885543667579,10.114456332421
13,92.2462055237621,7.75379447623787
14,97.318984822095,2.68101517790495
15,100,0
16,100,0
17,100,0
18,100,0
19,100,0
20,100,0
