analysis_sample,determinant,n_rows,n_missing,prop_missing,mean_observed,sd_observed,min_observed,max_observed
POOLED_ALL,det_04_added_value,4372,65,0.014867337602927721,57.729397007899614,23.431576917785907,0,100
POOLED_ALL,det_18_autonomy,4372,63,0.014409881061299177,59.752076115054976,23.5594170179515,0,100
POOLED_ALL,det_12_own_competence,4372,62,0.014181152790484904,62.29729484255524,24.07218798900725,0,100
POOLED_ALL,det_30_authority,4372,62,0.014181152790484904,38.46938464555819,25.988453128294097,0,100
POOLED_ALL,det_27_fun,4372,61,0.013952424519670631,48.262127034285136,27.080773621973687,0,100
POOLED_ALL,det_23_support,4372,58,0.013266239707227814,47.010382730775504,25.57922847322663,0,100
POOLED_ALL,det_05_frugality,4372,55,0.012580054894784995,53.34945868198262,26.21263057123199,0,100
POOLED_ALL,det_26_novelty,4372,55,0.012580054894784995,54.179037496407744,26.153160360785588,0,100
POOLED_ALL,det_03_risk_profile,4372,49,0.01120768526989936,60.57157504486126,24.400203494264705,0,100
POOLED_ALL,det_20_coziness,4372,47,0.010750228728270814,59.784048384741425,23.89042396467496,0,100
POOLED_ALL,det_08_trust,4372,46,0.010521500457456541,69.00084313560511,22.305713194805072,0,100
POOLED_ALL,det_24_socialising,4372,46,0.010521500457456541,36.150030793133645,26.21245929461379,0,100
POOLED_ALL,det_25_agreement,4372,45,0.01029277218664227,50.482540473339775,26.790939451578563,0,100
POOLED_ALL,det_32_own_significance,4372,45,0.01029277218664227,59.59954537332694,24.027523953232073,0,100
POOLED_ALL,det_07_legal,4372,44,0.010064043915827997,62.09242459165467,25.75236248718087,0,100
POOLED_ALL,det_21_rights_and_duties,4372,43,0.009835315645013724,61.37788257420998,24.602534346916794,0,100
POOLED_ALL,det_16_commitment,4372,42,0.00960658737419945,68.84696207784589,20.58249794123733,0,100
POOLED_ALL,det_02_credit_score,4372,40,0.009149130832570906,58.193203658401146,28.19386048218162,0,100
POOLED_ALL,det_09_safety,4372,40,0.009149130832570906,64.76818276593214,23.49393222286157,0,100
POOLED_ALL,det_06_climate_protection,4372,39,0.008920402561756633,58.2676886248556,25.028221043711962,0,100
POOLED_ALL,det_01_profits,4372,38,0.00869167429094236,54.87965957986384,27.477923987649476,0,100
POOLED_ALL,det_17_adherence,4372,37,0.008462946020128087,71.38912126787729,20.390132056894895,0,100
POOLED_ALL,det_22_peer_pressure,4372,36,0.008234217749313814,39.925727988870925,25.789561139335508,0,100
POOLED_ALL,det_29_trends,4372,35,0.008005489478499543,34.351569166107126,24.9134429595923,0,100
POOLED_ALL,det_14_environmental_concerns,4372,33,0.007548032936870997,63.595281672118894,23.505633418293588,0,100
POOLED_ALL,det_19_wellbeing,4372,33,0.007548032936870997,64.02873242700834,24.41065236204278,0,100
POOLED_ALL,det_31_approval,4372,32,0.007319304666056725,29.552263483428852,24.509746522290158,0,100
POOLED_ALL,det_13_technical_fit,4372,28,0.006404391582799634,67.49757986211873,22.884092363901935,0,100
POOLED_ALL,det_10_cost_efficiency,4372,27,0.006175663311985362,71.15571686236012,22.73761089766405,0,100
POOLED_ALL,det_28_recognition,4372,24,0.0054894784995425435,32.285934140401004,26.174348804982056,0,100
POOLED_ALL,det_11_knowledge,4372,20,0.004574565416285453,72.13209301927971,21.645719372844106,0,100
POOLED_ALL,det_15_self_satisfaction,4372,19,0.00434583714547118,71.05450571255135,21.1194608535966,0,100
