analysis_sample,determinant,n_pos_ge_MAX,prop_pos_ge_MAX,n_ext_ge_Q3,prop_ext_ge_Q3,mean_raw_0_100,sd_raw_0_100
POOLED_ALL,det_01_profits,2635,0.6026989935956084,1998,0.4569990850869167,54.837247168144856,27.361971454760013
POOLED_ALL,det_02_credit_score,2812,0.6431838975297347,2184,0.49954254345837146,58.118242966192284,28.0754021575617
POOLED_ALL,det_03_risk_profile,3094,0.7076852698993595,1864,0.4263494967978042,60.45309215895145,24.288566879199358
POOLED_ALL,det_04_added_value,2975,0.6804666056724611,1577,0.36070448307410796,57.61448145311608,23.275510881077736
POOLED_ALL,det_05_frugality,2544,0.5818847209515096,1834,0.419487648673376,53.30732230789554,26.04986820485488
POOLED_ALL,det_06_climate_protection,2888,0.6605672461116194,1830,0.4185727355901189,58.19393751406665,24.928441078642606
POOLED_ALL,det_07_legal,3073,0.7028819762122598,2001,0.45768526989935954,61.970725899516104,25.65083794046156
POOLED_ALL,det_08_trust,3605,0.8245654162854529,2273,0.5198993595608418,68.80092575586195,22.272588913808814
POOLED_ALL,det_09_safety,3385,0.7742451967063129,1946,0.44510521500457456,64.63306672964728,23.428429559463563
POOLED_ALL,det_10_cost_efficiency,3633,0.8309698078682525,2484,0.5681610247026533,71.02506627789442,22.727801765240926
POOLED_ALL,det_11_knowledge,3707,0.8478956999085087,2485,0.5683897529734675,72.03084831196341,21.64773290612435
POOLED_ALL,det_12_own_competence,3244,0.74199451052150045,1911,0.437099725526075,62.12290502548333,23.945049456704844
POOLED_ALL,det_13_technical_fit,3504,0.8014638609332113,2131,0.487419945105215,67.38551850893016,22.853353012343273
POOLED_ALL,det_14_environmental_concerns,3271,0.7481701738334858,1949,0.4457913998170174,63.49266403827173,23.446286494585127
POOLED_ALL,det_15_self_satisfaction,3727,0.8524702653247942,2357,0.5391125343092407,70.96300625954613,21.1189806785766
POOLED_ALL,det_16_commitment,3682,0.8421774931381518,2041,0.46683440073193044,68.6659070899069,20.565721285423287
POOLED_ALL,det_17_adherence,3763,0.860704483074108,2304,0.5269899359560841,71.20810628916922,20.397990351100546
POOLED_ALL,det_18_autonomy,3066,0.7012808783165599,1702,0.38929551692589204,59.61154985813633,23.417880685865107
POOLED_ALL,det_19_wellbeing,3284,0.7511436413540714,2032,0.464775846294602,63.92284309258671,24.348630683155662
POOLED_ALL,det_20_coziness,3000,0.6861848124428179,1735,0.39684354986276305,59.67886762671691,23.783050658626955
POOLED_ALL,det_21_rights_and_duties,3100,0.7090576395242452,1892,0.43275388838060386,61.26597750772072,24.506961800058818
POOLED_ALL,det_22_peer_pressure,1675,0.38311985361390666,2000,0.45745654162854527,40.00868173827647,25.699272897741157
POOLED_ALL,det_23_support,2126,0.48627630375114367,1719,0.39318389752973465,47.05004371010193,25.411255547000284
POOLED_ALL,det_24_socialising,1374,0.3142726440988106,2212,0.505946935041171,36.29575325047934,26.112441329807464
POOLED_ALL,det_25_agreement,2349,0.5372827081427265,1876,0.42909423604757546,50.47757379417695,26.652719113351488
POOLED_ALL,det_26_novelty,2655,0.6072735590118938,1821,0.4165141811527905,54.12646497529541,25.992272169955918
POOLED_ALL,det_27_fun,2242,0.5128087831655993,1883,0.4306953339432754,48.28637457566381,26.891918002994636
POOLED_ALL,det_28_recognition,1142,0.26120768526989935,2450,0.560384263494968,32.38317512407669,26.13519316093998
POOLED_ALL,det_29_trends,1230,0.28133577310155533,2228,0.5096065873741995,34.476842514502714,24.852660658541936
POOLED_ALL,det_30_authority,1525,0.3488106129917658,1998,0.4569990850869167,38.63290206366776,25.83947952676839
POOLED_ALL,det_31_approval,933,0.21340347666971637,2502,0.5722781335773102,29.70192669672478,24.48200011577802
POOLED_ALL,det_32_own_significance,3033,0.6937328453796889,1744,0.3989021043000915,59.500739439704006,23.92315299404224
