country_clean,current_n,current_pct
Spain,185,82.59
Netherlands,10,4.46
United Kingdom,5,2.23
Germany,4,1.79
France,3,1.34
Ireland,3,1.34
Italy,3,1.34
Poland,3,1.34
Romania,3,1.34
Austria,2,0.89
Belgium,1,0.45
Greece,1,0.45
Norway,1,0.45
