country,current_n,target_n_scaled,recruit_next_n,recruit_planned_181
France,3,45,42,23
Italy,3,45,42,23
United Kingdom,5,45,40,22
Germany,4,45,41,22
Poland,3,33,30,16
Czech Republic,0,11,11,6
Portugal,0,11,11,6
Sweden,0,11,11,6
Belgium,1,11,10,5
Greece,1,11,10,5
Bulgaria,0,7,7,4
Croatia,0,7,7,4
Denmark,0,7,7,4
Estonia,0,7,7,4
Finland,0,7,7,4
Hungary,0,7,7,4
Latvia,0,7,7,4
Lithuania,0,7,7,4
Romania,3,11,8,4
Austria,2,7,5,3
Slovakia,0,6,6,3
Slovenia,0,6,6,3
Ireland,3,7,4,2
Netherlands,10,11,1,0
