"cluster","best_match","pct_match"
"1","Fearful",60
"2","Homo Economicus",41.1764705882353
"3","Careful",58.8235294117647
"4","Stubborn",20
"5","Activist",45.4545454545455
"6","Uninterested",17.6470588235294
"7","Influencer",12.5
"8","Early Adopter",23.5294117647059
