row_id,participant_id_check,source_survey,identifier_type,has_prolific,has_code,n_sociodemographic_non_missing,n_key_sociodemographic_non_missing,join_key,prolific_id,identification_code,please_provide_your_prolific_id,please_provide_your_identification_code
8,CODE_6a1d9,decision,codigo,FALSE,TRUE,0,0,CODE_6a1d9,NA,6a1d9,NA,6a1d9
10,PROLIFIC_698db045fae28c25c8879634,decision,prolific,TRUE,FALSE,0,0,PROLIFIC_698db045fae28c25c8879634,698db045fae28c25c8879634,NA,698db045fae28c25c8879634,NA
87,PROLIFIC_6929ca088209364a5246d420,decision,prolific,TRUE,FALSE,0,0,PROLIFIC_6929ca088209364a5246d420,6929ca088209364a5246d420,NA,6929ca088209364a5246d420,NA
103,PROLIFIC_698222e236223bf37e0685a3,decision,prolific,TRUE,FALSE,0,0,PROLIFIC_698222e236223bf37e0685a3,698222e236223bf37e0685a3,NA,698222e236223bf37e0685a3,NA
108,PROLIFIC_699304901f17ecf09a0c0f09,decision,prolific,TRUE,FALSE,0,0,PROLIFIC_699304901f17ecf09a0c0f09,699304901f17ecf09a0c0f09,NA,699304901f17ecf09a0c0f09,NA
115,PROLIFIC_6989bce959483bc187776922,decision,prolific,TRUE,FALSE,0,0,PROLIFIC_6989bce959483bc187776922,6989bce959483bc187776922,NA,6989bce959483bc187776922,NA
163,PROLIFIC_6966c5f596a09797dd5a9d65,decision,prolific,TRUE,FALSE,0,0,PROLIFIC_6966c5f596a09797dd5a9d65,6966c5f596a09797dd5a9d65,NA,6966c5f596a09797dd5a9d65,NA
166,PROLIFIC_5fabbdb69389ea01dd402172,decision,prolific,TRUE,FALSE,0,0,PROLIFIC_5fabbdb69389ea01dd402172,5fabbdb69389ea01dd402172,NA,5fabbdb69389ea01dd402172,NA
202,202,decision,sin_identificador,FALSE,FALSE,0,0,NA,NA,NA,NA,NA
212,212,decision,sin_identificador,FALSE,FALSE,0,0,NA,NA,NA,NA,NA
277,PROLIFIC_f022823c-dfa6-4cd6-bd42-,decision,prolific,TRUE,FALSE,0,0,PROLIFIC_f022823c-dfa6-4cd6-bd42-,f022823c-dfa6-4cd6-bd42-,NA,f022823c-dfa6-4cd6-bd42-,NA
351,351,decision,sin_identificador,FALSE,FALSE,0,0,NA,NA,NA,NA,NA
373,373,decision,sin_identificador,FALSE,FALSE,0,0,NA,NA,NA,NA,NA
376,376,decision,sin_identificador,FALSE,FALSE,0,0,NA,NA,NA,NA,NA
382,PROLIFIC_6679a3da51eabfa768a8f350,decision,prolific,TRUE,FALSE,0,0,PROLIFIC_6679a3da51eabfa768a8f350,6679a3da51eabfa768a8f350,NA,6679a3da51eabfa768a8f350,NA
390,PROLIFIC_69b0772afa3b7617ecf290d8,decision,prolific,TRUE,FALSE,0,0,PROLIFIC_69b0772afa3b7617ecf290d8,69b0772afa3b7617ecf290d8,NA,69b0772afa3b7617ecf290d8,NA
407,407,decision,sin_identificador,FALSE,FALSE,0,0,NA,NA,NA,NA,NA
408,CODE_MO125,decision,codigo,FALSE,TRUE,0,0,CODE_MO125,NA,MO125,NA,MO125
409,CODE_Qwert,decision,codigo,FALSE,TRUE,0,0,CODE_Qwert,NA,Qwert,NA,Qwert
410,CODE_DGC00,decision,codigo,FALSE,TRUE,0,0,CODE_DGC00,NA,DGC00,NA,DGC00
411,CODE_VVVVV,decision,codigo,FALSE,TRUE,0,0,CODE_VVVVV,NA,VVVVV,NA,VVVVV
412,CODE_HL990,decision,codigo,FALSE,TRUE,0,0,CODE_HL990,NA,HL990,NA,HL990
413,CODE_aal81,decision,codigo,FALSE,TRUE,0,0,CODE_aal81,NA,aal81,NA,aal81
414,414,decision,sin_identificador,FALSE,FALSE,0,0,NA,NA,NA,NA,NA
415,CODE_GAC00,decision,codigo,FALSE,TRUE,0,0,CODE_GAC00,NA,GAC00,NA,GAC00
416,416,decision,sin_identificador,FALSE,FALSE,0,0,NA,NA,NA,NA,NA
417,CODE_TE996,decision,codigo,FALSE,TRUE,0,0,CODE_TE996,NA,TE996,NA,TE996
418,CODE_eoclr,decision,codigo,FALSE,TRUE,0,0,CODE_eoclr,NA,eoclr,NA,eoclr
419,CODE_CEB83,decision,codigo,FALSE,TRUE,0,0,CODE_CEB83,NA,CEB83,NA,CEB83
432,432,rvs,sin_identificador,FALSE,FALSE,0,0,NA,NA,NA,NA,NA
