row_quality,n,percentage
usable,278,63.3
attention_check_fallido,119,27.1
sin_sociodemografico,25,5.7
sin_pais,7,1.6
problematic_merge,5,1.1
muy_incompleta_6_10,4,0.9
casi_vacia_0_5,1,0.2
