country_quality,n,percentage
Spain,241,33.7
United Kingdom,93,13
NA,81,11.3
Poland,49,6.9
Italy,46,6.4
Germany,34,4.8
France,33,4.6
Netherlands,21,2.9
Portugal,20,2.8
Belgium,10,1.4
Greece,10,1.4
Romania,10,1.4
Ireland,9,1.3
Hungary,7,1
Czech Republic,6,0.8
Sweden,6,0.8
Estonia,5,0.7
Finland,5,0.7
Slovakia,5,0.7
Slovenia,5,0.7
Denmark,4,0.6
Latvia,4,0.6
Bulgaria,3,0.4
Austria,2,0.3
Lithuania,2,0.3
Norway,2,0.3
Luxembourg,1,0.1
Switzerland,1,0.1
