term,estimate,std_error,z_value,p_value
(Intercept),-17.768159985571465,3418.612095491017,-0.0051974776573823055,0.9958530314929436
age_group_model25-34,0.04862388353958415,0.7011614355456263,0.0693476296250467,0.9447129140043645
age_group_model35-49,-0.8139955544255102,0.8180187359073052,-0.995081797879198,0.31969648266049133
age_group_model50-64,-0.8149760697953953,0.8749190596599622,-0.9314873882301024,0.35160150540889856
age_group_model65+,-15.864866242655152,1543.916601898034,-0.010275727473330795,0.9918012999825071
age_group_modelMissing,-16.77252676269014,5884.761535879737,-0.002850162518978392,0.9977259024092393
gender_modelMale,-0.4087052029172575,0.40051440242532904,-1.020450701503688,0.3075147584229125
gender_modelMissing,17.29170295935716,5884.76166147975,0.0029383862854709198,0.9976555103229136
gender_modelOther / Prefer not to say,2.259185232206642,1.176160767252481,1.920813289397599,0.054755250460212235
education_modelMissing,-14.996370023152155,2525.303218136547,-0.005938443318588159,0.9952618356095593
education_modelUniversity degree or above,-0.3002487823793575,0.44089615152730116,-0.6809966050718986,0.49587363859206685
country_model_groupedFrance,-0.18854331786459924,1.2733538865535214,-0.14806827846963533,0.8822888835691793
country_model_groupedGermany,-0.5303046665574789,1.3699762042381818,-0.3870904216561713,0.6986892683709309
country_model_groupedGreece,-0.4613707438000921,1.7468890356934446,-0.26410993164024665,0.7916952111911044
country_model_groupedItaly,1.0441496426966114e-4,1.2786036370603593,8.166327800358979e-5,0.9999348421313689
country_model_groupedNetherlands,0.02320783037357744,1.5667804099220857,0.014812433335652658,0.9881818203026936
country_model_groupedOther / small n,-0.8452526328861886,1.2754748236143905,-0.6626964462465397,0.5075249862679581
country_model_groupedPoland,-0.6736914593531931,1.2854997044477563,-0.5240697115855093,0.600230054163384
country_model_groupedPortugal,-0.7423236170175401,1.550950962488297,-0.4786248146921289,0.6322055617471931
country_model_groupedRomania,-17.93499439858491,4385.664781907072,-0.0040894585634030185,0.9967370932448503
country_model_groupedSpain,0.176610806492284,1.1799534503479532,0.14967607954381906,0.8810201813133692
country_model_groupedUnited Kingdom,0.07980327119093292,1.2351976009346397,0.06460769607271581,0.9484863569349153
city_size_model_groupedMedium city,0.5092984344105436,0.7558183750709618,0.6738370635177093,0.5004149083628762
city_size_model_groupedMetropolis,0.0683536128150928,0.803215301749623,0.08509998834210443,0.9321818995765035
city_size_model_groupedSmall city,0.75130850096492,0.6873082030906585,1.093117319983186,0.27434229236650853
city_size_model_groupedSmall town,-0.10047792222775938,0.880740603298777,-0.1140834450591054,0.9091716454661035
city_size_model_groupedTown,0.14838479244183572,0.680977323838379,0.21789975561220437,0.8275072175644731
city_size_model_groupedVillage / rural area,-0.9708844668933542,1.2512760975519661,-0.7759154584610235,0.4377989046043804
employment_model_groupedMissing,-13.395411013333309,2419.4899904965932,-0.005536460603659674,0.9955825661303469
employment_model_groupedOther / small n,-17.722985015537414,4800.462097454294,-0.003691933121383458,0.9970542702548307
employment_model_groupedRetired,-15.459298623008655,1487.5191387022626,-0.010392672081177803,0.9917079966678187
employment_model_groupedStudent,-0.13388477219303693,0.7148527655280887,-0.1872899968347065,0.851433265587209
income_model_groupedMissing,16.392059356161194,3418.6117962456515,0.004794946116480114,0.996174201183932
income_model_groupedOther / small n,16.357005382027264,3418.611835266498,0.004784692199707474,0.9961823825319623
