row_id,participant_id,source_survey,identifier_type,n_non_missing,country_clean,residence_region,has_country,n_sociodemographic_non_missing,n_key_sociodemographic_non_missing,line_check_answer,check_42_answer,check_4_answer,strongly_disagree_answer,line_check_status,check_42_status,check_4_status,strongly_disagree_status,pass_line_check,pass_42_check,pass_4_check,pass_strongly_disagree_check,fail_line_check,fail_42_check,fail_4_check,fail_strongly_disagree_check,no_response_line_check,no_response_42_check,no_response_4_check,no_response_strongly_disagree_check,no_response_attention_check,failed_attention_check,failed_attention_check_decision,failed_attention_check_other,failed_attention_check_any,problematic_merge_flag,duplicate_n,duplicate_rank,duplicated_participant,n_determinants_valid,determinant_sd,possible_straightlining,row_quality
232,232,decision,sin_identificador,96,Spain,Europa del Sur,TRUE,14,5,All lines are the same length.,The questionnaire is difficult to follow.,NA,NA,pasa,falla,no_responde,no_responde,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,15,30.307943324670326,FALSE,attention_check_fallido
234,234,decision,sin_identificador,94,Spain,Europa del Sur,TRUE,13,5,All lines are the same length.,The survey has been easy so far.,NA,NA,pasa,falla,no_responde,no_responde,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,28,34.12990666703514,FALSE,attention_check_fallido
238,238,decision,sin_identificador,93,Spain,Europa del Sur,TRUE,14,5,All lines are the same length.,The survey has been easy so far.,NA,NA,pasa,falla,no_responde,no_responde,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,29,35.337047083078744,FALSE,attention_check_fallido
240,240,decision,sin_identificador,72,Spain,Europa del Sur,TRUE,14,5,The middle line is the longest.,42.,NA,NA,falla,pasa,no_responde,no_responde,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,11,21.046701317870134,FALSE,attention_check_fallido
241,241,decision,sin_identificador,112,Spain,Europa del Sur,TRUE,14,5,All lines are the same length.,I prefer not to answer.,NA,NA,pasa,falla,no_responde,no_responde,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,29,39.741653397642196,FALSE,attention_check_fallido
245,245,decision,sin_identificador,94,Spain,Europa del Sur,TRUE,14,5,The middle line is the longest.,42.,NA,NA,falla,pasa,no_responde,no_responde,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,25,19.794780456810667,FALSE,attention_check_fallido
249,249,decision,sin_identificador,85,Spain,Europa del Sur,TRUE,14,5,All lines are the same length.,The questionnaire is difficult to follow.,NA,NA,pasa,falla,no_responde,no_responde,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,21,27.07115843564178,FALSE,attention_check_fallido
256,256,decision,sin_identificador,88,NA,NA,FALSE,12,4,All lines are the same length.,42.,NA,NA,pasa,pasa,no_responde,no_responde,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,27,40.92864334611943,FALSE,sin_pais
257,257,decision,sin_identificador,104,NA,NA,FALSE,13,4,All lines are the same length.,42.,NA,NA,pasa,pasa,no_responde,no_responde,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,28,20.831999957330602,FALSE,sin_pais
258,258,decision,sin_identificador,103,Spain,Europa del Sur,TRUE,14,5,The bottom line is the longest.,42.,NA,NA,falla,pasa,no_responde,no_responde,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,FALSE,32,26.01860376606485,FALSE,attention_check_fallido
