row_id_global,source_survey,merge_status,idioma,fecha,join_key,identifier_type,suspicious_join_key,duplicate_type,response_quality
563,poverty,external_unmatched_appended,EN,2026-05-07,PROLIFIC_abcde,prolific,TRUE,not_duplicated,suspicious_identifier
560,poverty,external_unmatched_appended,EU,2026-05-08,PROLIFIC_c5pqdyqa,prolific,TRUE,duplicate_within_same_survey,suspicious_identifier
551,poverty,external_unmatched_appended,EU,2026-05-09,PROLIFIC_c5pqdyqa,prolific,TRUE,duplicate_within_same_survey,suspicious_identifier
435,concerns2,external_unmatched_appended,EU,2026-05-12,PROLIFIC_jb993,prolific,TRUE,expected_cross_survey_link,suspicious_identifier
584,energy_crisis,external_unmatched_appended,ES,2026-05-12,PROLIFIC_jb993,prolific,TRUE,expected_cross_survey_link,suspicious_identifier
431,concerns2,external_unmatched_appended,ES,2026-05-14,PROLIFIC_jzn56,prolific,TRUE,expected_cross_survey_link,suspicious_identifier
586,energy_crisis,external_unmatched_appended,ES,2026-05-10,PROLIFIC_jzn56,prolific,TRUE,expected_cross_survey_link,suspicious_identifier
582,energy_crisis,external_unmatched_appended,ES,2026-05-12,PROLIFIC_kiki2026j,prolific,TRUE,expected_cross_survey_link,suspicious_identifier
543,poverty,external_unmatched_appended,ES,2026-05-12,PROLIFIC_kiki2026j,prolific,TRUE,expected_cross_survey_link,suspicious_identifier
557,poverty,external_unmatched_appended,EU,2026-05-08,PROLIFIC_mik49,prolific,TRUE,not_duplicated,suspicious_identifier
439,concerns2,external_unmatched_appended,EU,2026-05-08,PROLIFIC_poiuy,prolific,TRUE,expected_cross_survey_link,suspicious_identifier
591,energy_crisis,external_unmatched_appended,EU,2026-05-08,PROLIFIC_poiuy,prolific,TRUE,expected_cross_survey_link,suspicious_identifier
562,poverty,external_unmatched_appended,EU,2026-05-07,PROLIFIC_poiuy,prolific,TRUE,expected_cross_survey_link,suspicious_identifier
266,decision,decision_only_no_external_match,ES,2026-05-09,PROLIFIC_qwertyuiop,prolific,TRUE,not_duplicated,suspicious_identifier
438,concerns2,external_unmatched_appended,ES,2026-05-08,PROLIFIC_rre68,prolific,TRUE,expected_cross_survey_link,suspicious_identifier
587,energy_crisis,external_unmatched_appended,ES,2026-05-08,PROLIFIC_rre68,prolific,TRUE,expected_cross_survey_link,suspicious_identifier
558,poverty,external_unmatched_appended,ES,2026-05-08,PROLIFIC_rre68,prolific,TRUE,expected_cross_survey_link,suspicious_identifier
