row_id,participant_id,source_survey,line_check_status,check_42_status,check_4_status,strongly_disagree_status,n_attention_checks_pasa,n_attention_checks_falla,n_attention_checks_no_responde,n_attention_checks_no_aplica,n_attention_checks_respondidos,n_attention_checks_decision_pasa,n_attention_checks_decision_falla,n_attention_checks_decision_respondidos,failed_attention_check,failed_attention_check_decision,failed_attention_check_other,failed_attention_check_any,falla_todos_los_respondidos,falla_los_4_checks,falla_los_2_checks_decision,falla_todos_checks_decision_respondidos,row_quality
183,183,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
184,184,decision,falla,pasa,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
185,185,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
186,186,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
187,187,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
188,188,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
189,189,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
190,190,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
191,191,decision,falla,falla,no_responde,no_responde,0,2,2,0,2,0,2,2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,attention_check_fallido
192,192,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
193,193,decision,pasa,no_responde,no_responde,no_responde,1,0,3,0,1,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
194,194,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
195,195,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
196,196,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
197,197,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
198,198,decision,pasa,falla,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
199,199,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
200,200,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
201,201,decision,falla,pasa,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
202,202,decision,no_responde,pasa,no_responde,no_responde,1,0,3,0,1,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sin_sociodemografico
203,203,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
204,204,decision,pasa,falla,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
205,205,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
206,206,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
207,207,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
208,208,decision,pasa,falla,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
209,209,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
210,210,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
211,211,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
212,212,decision,no_responde,falla,no_responde,no_responde,0,1,3,0,1,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,attention_check_fallido
213,213,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
214,214,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
215,215,decision,pasa,falla,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
216,216,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
217,217,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
218,218,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sin_pais
219,219,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
22,22,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
220,220,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
221,221,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
222,222,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
223,223,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
224,224,decision,pasa,falla,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
225,225,decision,falla,pasa,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
226,226,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
227,227,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
228,228,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
229,229,decision,falla,pasa,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
230,230,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
231,231,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
232,232,decision,pasa,falla,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
233,233,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
234,234,decision,pasa,falla,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
235,235,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
236,236,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
237,237,decision,pasa,no_responde,no_responde,no_responde,1,0,3,0,1,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
238,238,decision,pasa,falla,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
239,239,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
240,240,decision,falla,pasa,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
241,241,decision,pasa,falla,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
242,242,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
243,243,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
244,244,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
245,245,decision,falla,pasa,no_responde,no_responde,1,1,2,0,2,1,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,attention_check_fallido
246,246,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
247,247,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
248,248,decision,pasa,pasa,no_responde,no_responde,2,0,2,0,2,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,usable
