source_survey,identifier_type,n,percentage
concerns1,codigo,12,100
concerns2,prolific,98,86
concerns2,codigo,10,8.8
concerns2,sin_identificador,6,5.3
decision,prolific,211,50.1
decision,sin_identificador,123,29.2
decision,codigo,87,20.7
energy_crisis,prolific,102,85.7
energy_crisis,sin_identificador,11,9.2
energy_crisis,codigo,6,5
poverty,prolific,20,48.8
poverty,sin_identificador,16,39
poverty,codigo,5,12.2
rvs,sin_identificador,8,100
