consensus_factor,id,determinants,mean_selection_frequency,mean_abs_loading
1,EFA1,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,0.74,0.3854187159933426
2,EFA2,det_03_risk_profile; det_07_legal; det_08_trust; det_11_knowledge; det_13_technical_fit; det_16_commitment; det_17_adherence; det_21_rights_and_duties,0.5925,0.3348261323062467
3,EFA3,det_01_profits; det_04_added_value; det_06_climate_protection; det_11_knowledge; det_14_environmental_concerns; det_16_commitment; det_23_support; det_32_own_significance,0.68125,0.37790931847583115
4,EFA4,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_18_autonomy,0.69375,0.38980305858147074
5,EFA5,det_09_safety; det_13_technical_fit; det_18_autonomy; det_22_peer_pressure; det_25_agreement; det_26_novelty; det_30_authority; det_32_own_significance,0.415,0.2094744586162926
6,EFA6,det_09_safety; det_15_self_satisfaction; det_16_commitment; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_25_agreement; det_27_fun,0.59625,0.3351608862084787
