bootstrap_id,mean_similarity_to_others
32,58.88047138047138
67,58.775252525252526
53,58.48063973063973
22,58.22811447811448
46,57.975589225589225
1,57.68097643097643
24,57.617845117845114
81,57.554713804713806
84,57.47053872053872
31,57.196969696969695
70,57.15488215488215
88,57.11279461279461
75,56.83922558922559
80,56.81818181818182
2,56.755050505050505
34,56.71296296296296
100,56.64983164983165
36,56.60774410774411
11,56.607744107744104
41,56.56565656565657
17,56.523569023569024
93,56.418350168350166
55,56.397306397306394
96,56.33417508417509
52,56.081649831649834
97,56.081649831649834
58,55.89225589225589
99,55.85016835016835
4,55.78703703703704
45,55.744949494949495
19,55.68181818181818
18,55.66077441077441
6,55.63973063973064
33,55.61868686868687
79,55.49242424242424
54,55.47138047138047
35,55.36616161616161
51,55.36616161616161
44,55.324074074074076
27,55.176767676767675
77,55.176767676767675
90,55.176767676767675
69,55.00841750841751
62,54.98737373737374
65,54.98737373737374
86,54.98737373737374
28,54.90319865319865
66,54.755892255892256
23,54.734848484848484
87,54.62962962962963
56,54.398148148148145
92,54.292929292929294
25,54.25084175084175
13,54.20875420875421
78,54.04040404040404
3,54.01936026936027
26,53.97727272727273
57,53.956228956228955
63,53.82996632996633
95,53.78787878787879
60,53.724747474747474
29,53.7037037037037
9,53.57744107744108
15,53.40909090909091
38,53.40909090909091
91,53.40909090909091
7,53.36700336700337
61,53.36700336700337
10,53.3459595959596
64,53.282828282828284
48,53.11447811447812
82,53.072390572390574
98,53.0513468013468
39,52.92508417508417
5,52.714646464646464
68,52.630471380471384
20,52.60942760942761
47,52.48316498316498
72,52.44107744107744
12,52.42003367003367
71,52.35690235690236
40,52.12542087542087
42,52.04124579124579
73,51.99915824915825
89,51.936026936026934
49,51.55723905723906
85,51.55723905723906
43,51.40993265993266
16,51.03114478114478
50,50.90488215488215
94,50.67340067340067
83,50.54713804713805
76,50.42087542087542
30,49.936868686868685
8,49.53703703703704
21,49.24242424242424
14,48.98989898989899
74,48.842592592592595
37,47.95875420875421
59,47.474747474747474
