"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,3,6,0.00075
3,23,158,0.01975
4,97,1288,0.161
5,361,5689,0.711125
6,1169,57927,7.240875
7,2162,82827,10.353375
8,5141,210049,26.256125
9,6832,361379,45.172375
10,12686,467594,58.44925
11,14441,494594,61.82425
12,21052,572887,71.610875
13,22728,622060,77.7575
14,27287,717039,89.629875
15,28461,768787,96.098375
16,30496,791479,98.934875
17,30972,797289,99.661125
18,31589,799298,99.91225
19,31676,799597,99.949625
20,31811,799969,99.996125
