analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,dim_autonomy,dim_competence,dim_financial,dim_meaning,dim_physiological,dim_popularity,dim_relatedness,dim_security,dim_stimulation
WHY_LATAM,2220,WHY_LATAM,LATAM,1,why__566bdeb3beaf21001240085a,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,566bdeb3beaf21001240085a,566bdeb3beaf21001240085a,NA,MX,MX,latin_america,35_44,male,employed,usable_partial,TRUE,TRUE,31,0.14,0.485,0.20400000000000001,0,0,0.75,0.336,0.4266666666666667,0
WHY_LATAM,2221,WHY_LATAM,LATAM,2,why__572bc38f34b25a0010dbe9c4,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,572bc38f34b25a0010dbe9c4,572bc38f34b25a0010dbe9c4,NA,MX,MX,latin_america,35_44,male,employed,usable_complete,TRUE,TRUE,32,0.45999999999999996,0.8250000000000001,0.43200000000000005,0.17333333333333334,0.5,0.13,0.6,0.43333333333333335,0.9
WHY_LATAM,2222,WHY_LATAM,LATAM,3,why__57d0540392da98000100c72f,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,57d0540392da98000100c72f,57d0540392da98000100c72f,NA,CL,CL,latin_america,35_44,female,employed,usable_complete,TRUE,TRUE,32,0.4,0.95,0.4,0.4666666666666666,0,0.92,0.45999999999999996,0.6,0.3
WHY_LATAM,2223,WHY_LATAM,LATAM,4,why__5908ec21bc185d00011aa205,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5908ec21bc185d00011aa205,5908ec21bc185d00011aa205,NA,CL,CL,latin_america,55_64,male,employed,usable_complete,TRUE,TRUE,32,0.235,0.28500000000000003,0.6839999999999999,0,0,1,0.336,0.3133333333333333,0.99
WHY_LATAM,2224,WHY_LATAM,LATAM,5,why__598c2748e339120001fb8875,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,598c2748e339120001fb8875,598c2748e339120001fb8875,NA,MX,MX,latin_america,35_44,male,employed,usable_partial,TRUE,TRUE,31,0.125,0.44999999999999996,0.32,0,0.3,0.125,0,0,0
WHY_LATAM,2225,WHY_LATAM,LATAM,6,why__5a5c0728ac5624000153f533,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5a5c0728ac5624000153f533,5a5c0728ac5624000153f533,NA,MX,MX,latin_america,35_44,male,unknown,usable_complete,TRUE,TRUE,32,0.19,0.425,0.2,0,0.35,0.925,0.8,0.4066666666666667,0.5
WHY_LATAM,2226,WHY_LATAM,LATAM,7,why__5a874306f49c9a0001f39714,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5a874306f49c9a0001f39714,5a874306f49c9a0001f39714,NA,MX,MX,latin_america,35_44,female,employed,usable_complete,TRUE,TRUE,32,0.635,0.7200000000000001,0.188,0.42,0.39,0.32,0.136,0.4533333333333333,0.27
WHY_LATAM,2227,WHY_LATAM,LATAM,8,why__5ac9c4415cd1050001626162,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5ac9c4415cd1050001626162,5ac9c4415cd1050001626162,NA,MX,MX,latin_america,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.675,0.95,0.66,0,0.3,0.525,0.5599999999999999,0.6,0.4
WHY_LATAM,2228,WHY_LATAM,LATAM,9,why__5adf7fbc09eae200011305a5,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5adf7fbc09eae200011305a5,5adf7fbc09eae200011305a5,NA,MX,MX,latin_america,45_54,female,unknown,usable_complete,TRUE,TRUE,32,0.31,0.44500000000000006,0,0.20666666666666667,0,0,0.11200000000000002,0.39333333333333337,0
WHY_LATAM,2229,WHY_LATAM,LATAM,10,why__5af43b1ea37f390001276490,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5af43b1ea37f390001276490,5af43b1ea37f390001276490,NA,MX,MX,latin_america,25_34,female,unknown,usable_complete,TRUE,TRUE,32,0.875,0.55,0.34,0,0.3,0.825,0.62,0.39999999999999997,0.3
WHY_LATAM,2230,WHY_LATAM,LATAM,11,why__5b0f5ef5444cef0001ca968b,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5b0f5ef5444cef0001ca968b,5b0f5ef5444cef0001ca968b,NA,MX,MX,latin_america,25_34,female,unknown,usable_complete,TRUE,TRUE,32,0.56,0.55,0.21600000000000003,0.38000000000000006,0.31,0.44500000000000006,0.544,0.6066666666666666,0.66
WHY_LATAM,2231,WHY_LATAM,LATAM,12,why__5b157b3bea49770001630696,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,5b157b3bea49770001630696,5b157b3bea49770001630696,NA,MX,MX,latin_america,25_34,female,employed,usable_partial,TRUE,TRUE,31,0.575,0.3,0.27999999999999997,0.2333333333333333,0.3,0,0,0.38000000000000006,0
