"cluster","Early.Adopter","Uninterested","Homo.Economicus","Fearful","Stubborn","Influencer","Careful","Activist"
"cluster_1",28.5714285714286,42.8571428571429,80,80,40,12.5,100,60
"cluster_2",25,37.5,25,25,0,42.8571428571429,22.2222222222222,12.5
