consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_10_cost_efficiency,100,1,0.8033930250550129
1,det_05_frugality,100,1,0.5484010222049551
1,det_03_risk_profile,100,1,0.5294598560285694
1,det_01_profits,100,1,0.5168843034683543
1,det_02_credit_score,94,0.94,0.31530181459431506
1,det_17_adherence,87,0.87,0.25821087705097123
1,det_11_knowledge,53,0.53,0.1902251028030626
1,det_12_own_competence,48,0.48,0.17377484082601272
2,det_28_recognition,100,1,0.7664663131333008
2,det_24_socialising,100,1,0.6290572780364584
2,det_30_authority,100,1,0.6034359727390354
2,det_29_trends,100,1,0.5636314272712708
2,det_31_approval,99,0.99,0.6800147335356366
2,det_27_fun,99,0.99,0.4519925669253529
2,det_22_peer_pressure,97,0.97,0.5088784832608809
2,det_26_novelty,97,0.97,0.45990524295128304
3,det_16_commitment,96,0.96,0.52925007968301
3,det_15_self_satisfaction,95,0.95,0.40999891886064155
3,det_11_knowledge,90,0.9,0.3822754439091447
3,det_13_technical_fit,89,0.89,0.3555612381228736
3,det_12_own_competence,87,0.87,0.33352671810086504
3,det_18_autonomy,85,0.85,0.3565719473784802
3,det_32_own_significance,65,0.65,0.2765803338982725
3,det_17_adherence,60,0.6,0.2656681164987165
4,det_21_rights_and_duties,99,0.99,0.531348361858064
4,det_07_legal,97,0.97,0.5856185637113837
4,det_08_trust,95,0.95,0.3224752035825386
4,det_25_agreement,94,0.94,0.31076419149721096
4,det_09_safety,86,0.86,0.31578073923727595
4,det_22_peer_pressure,47,0.47,0.18856753196981105
4,det_03_risk_profile,41,0.41,0.17577524506809972
4,det_30_authority,40,0.4,0.1610340975752806
5,det_20_coziness,98,0.98,0.7038117298073785
5,det_19_wellbeing,98,0.98,0.6009991120560074
5,det_09_safety,96,0.96,0.3678893198535541
5,det_27_fun,91,0.91,0.2658342338300058
5,det_18_autonomy,79,0.79,0.22800538603757822
5,det_32_own_significance,66,0.66,0.17715786253410085
5,det_15_self_satisfaction,40,0.4,0.1339117658773158
5,det_25_agreement,37,0.37,0.13109863762657406
6,det_06_climate_protection,100,1,0.8588174086346764
6,det_14_environmental_concerns,100,1,0.8383326663324594
6,det_23_support,100,1,0.5286205726499852
6,det_04_added_value,95,0.95,0.25214595869617956
6,det_32_own_significance,78,0.78,0.20675368226246504
6,det_01_profits,67,0.67,0.18690232070924884
6,det_25_agreement,57,0.57,0.17921096485008123
6,det_08_trust,44,0.44,0.16228896930994446
