"D","assigned_pct","unassigned_pct"
0,0.0221631205673759,99.9778368794326
1,0.144060283687943,99.8559397163121
2,2.68173758865248,97.3182624113475
3,4.00044326241135,95.9995567375886
4,25.8200354609929,74.1799645390071
5,27.7870124113475,72.2129875886525
6,69.8249113475177,30.1750886524823
7,70.8554964539007,29.1445035460993
8,85.7491134751773,14.2508865248227
9,86.5913120567376,13.4086879432624
10,95.1130319148936,4.88696808510638
11,95.8056294326241,4.19437056737589
12,98.6314273049645,1.36857269503546
13,99.0359042553192,0.964095744680851
14,99.8171542553192,0.182845744680851
15,99.8503989361702,0.149601063829787
16,100,0
17,100,0
18,100,0
19,100,0
20,100,0
