"cluster","n_active_dets","active_determinants"
"cluster_1",0,""
"cluster_2",5,"SOCIALISING; RECOGNITION; TRENDS; AUTHORITY; OWN SIGNIFICANCE"
"cluster_3",7,"KNOWLEDGE; SOCIALISING; FUN; RECOGNITION; TRENDS; AUTHORITY; OWN SIGNIFICANCE"
"cluster_4",3,"COST-EFFICIENCY; KNOWLEDGE; SELF-SATISFACTION"
"cluster_5",15,"CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; SELF-SATISFACTION; COMMITMENT; ADHERENCE; WELLBEING; RECOGNITION; OWN SIGNIFICANCE"
"cluster_6",15,"CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; SELF-SATISFACTION; COMMITMENT; ADHERENCE; SOCIALISING; RECOGNITION; OWN SIGNIFICANCE"
