electoral_group_model,n_pool,target_n_in_bootstrap,target_share_global,pool_empty,pool_to_target_ratio,target_to_pool_ratio,pool_diagnostic
EPP,147,122,0.12174280155642027,FALSE,1.2049180327868851,0.8299319727891157,good_pool
SD,178,98,0.09802791828793778,FALSE,1.816326530612245,0.550561797752809,good_pool
PFE,22,56,0.05597480544747083,FALSE,0.39285714285714285,2.5454545454545454,weak_high_repetition
ECR,102,53,0.0532864785992218,FALSE,1.9245283018867925,0.5196078431372549,good_pool
RENEW,16,53,0.05261439688715955,FALSE,0.3018867924528302,3.3125,weak_high_repetition
GREENS_EFA,124,35,0.034852237354085616,FALSE,3.5428571428571427,0.28225806451612906,good_pool
GUE_NGL,136,32,0.032259922178988334,FALSE,4.25,0.23529411764705882,good_pool
NI,101,23,0.023042801556420238,FALSE,4.391304347826087,0.22772277227722773,good_pool
ESN,8,22,0.021698638132295722,FALSE,0.36363636363636365,2.75,weak_high_repetition
