term,estimate,std_error,z_value,p_value
(Intercept),1.2640206440190096,0.8256929843202475,1.5308603415827926,0.12580391250402953
f_age_group_model45_54,0.4892602994518091,0.3561606699371982,1.373706702478071,0.1695327552647588
f_age_group_model55_64,1.095423242625595,0.4642264248232366,2.359674469290926,0.018290977691593664
f_age_group_model35_44,0.6349527303507517,0.2967102765626472,2.1399755266538207,0.03235674461223576
f_age_group_model65_PLUS,1.0237870332270194,1.098811496007671,0.9317221715888129,0.35148012516555616
f_age_group_model18_24,-0.2626759035925609,0.3497896678599786,-0.7509538666468287,0.45268042038155903
f_age_group_modelUNKNOWN_MODEL,0.4754647972657756,0.502375777615351,0.9464325679129776,0.34392800073110386
f_gender_modelMALE,-0.27390629169287195,0.21596331811875893,-1.2683000709511696,0.20469081174761716
f_gender_modelUNKNOWN_MODEL,-0.3373315844420455,0.8315694366369062,-0.40565654481759994,0.6849949756413398
f_gender_modelOTHER_MODEL,-2.1719937321866283,0.9885157895888725,-2.1972271511110293,0.02800422742349241
f_country_model_groupedGB,-0.4569818434644063,0.8488144175341721,-0.5383766274752383,0.5903170589264617
f_country_model_groupedPT,-0.6606412042098583,1.086885510178602,-0.6078296177683874,0.5433004834956061
f_country_model_groupedES,0.3163804394464339,0.8848958978659115,0.3575340785390047,0.7206920188277108
f_country_model_groupedIT,-0.04076360955778514,0.8909347576120968,-0.04575375380689005,0.9635065192945408
f_country_model_groupedFR,-0.7894082879148299,0.8606314253595051,-0.9172431596778798,0.3590152351220942
f_country_model_groupedPL,0.2550701733292114,0.936056028069211,0.2724945576765751,0.7852417753541131
f_country_model_groupedDE,-0.4325207605714191,0.8673023297748703,-0.4986966432843441,0.6179931097064622
f_country_model_groupedOTHER_MODEL,-0.39552114808270444,0.8966000127182518,-0.4411344439797518,0.6591156690526887
f_country_model_groupedCH,0.050324194824082416,1.3952834591318555,0.03606736286789646,0.9712286460456926
f_country_model_groupedGR,0.1433569798791542,1.0881349331835146,0.13174559101759575,0.8951855233655289
f_country_model_groupedBE,-0.921764113448678,1.049524160936132,-0.8782685980535242,0.37979797280852773
f_country_model_groupedIE,-2.227155255818459,1.09953082876722,-2.025550532598997,0.04281086511717334
f_country_model_groupedNL,-0.016593528946571064,1.054537843566354,-0.015735356533486948,0.9874455200499034
f_country_model_groupedSE,-0.17288522388288088,1.1801893918170736,-0.1464893898230172,0.8835350652606981
f_country_model_groupedRO,-0.4757003932750754,1.0145220381976687,-0.46889113825479095,0.6391474508741902
f_employment_modelUNKNOWN_MODEL,0.09484686620251402,0.2746182365362657,0.3453771584830226,0.729810846797571
f_employment_modelUNEMPLOYED,-0.26819985652475103,0.380389681735164,-0.7050660662017586,0.48076912292543617
f_employment_modelSTUDENT,0.040551906969154956,0.3866424180163049,0.10488219884721718,0.9164692843156402
f_employment_modelOTHER,0.07902045897416117,0.8525891471449708,0.09268292851108138,0.9261554597013074
f_employment_modelRETIRED,15.423073065910609,566.6696637800583,0.027217043811783744,0.9782866217456996
