"scenario","type","reference","K","D","D_order","archetypes_used","n_patterns_covered","freq_covered","pct_covered"
"100-9-top3","ext","kmeans",1,0,4,"Careful",0,0,0
"100-9-top3","ext","kmeans",1,2,4,"Careful",0,0,0
"100-9-top3","ext","kmeans",1,4,4,"Careful",19,3018928,37.7366
"100-9-top3","ext","kmeans",1,6,4,"Careful",77,6871280,85.891
"100-9-top3","ext","kmeans",1,8,4,"Careful",96,8000000,100
"100-9-top3","ext","kmeans",1,10,4,"Careful",96,8000000,100
"100-9-top3","ext","kmeans",2,0,4,"Careful | Early.Adopter",0,0,0
"100-9-top3","ext","kmeans",2,2,4,"Careful | Early.Adopter",0,0,0
"100-9-top3","ext","kmeans",2,4,4,"Careful | Early.Adopter",19,3018928,37.7366
"100-9-top3","ext","kmeans",2,6,4,"Careful | Early.Adopter",85,7965885,99.5735625
"100-9-top3","ext","kmeans",2,8,4,"Careful | Early.Adopter",96,8000000,100
"100-9-top3","ext","kmeans",2,10,4,"Careful | Early.Adopter",96,8000000,100
"100-9-top3","ext","kmeans",3,0,4,"Careful | Early.Adopter | Fearful",0,0,0
"100-9-top3","ext","kmeans",3,2,4,"Careful | Early.Adopter | Fearful",0,0,0
"100-9-top3","ext","kmeans",3,4,4,"Careful | Early.Adopter | Fearful",19,3018928,37.7366
"100-9-top3","ext","kmeans",3,6,4,"Careful | Early.Adopter | Fearful",85,7965885,99.5735625
"100-9-top3","ext","kmeans",3,8,4,"Careful | Early.Adopter | Fearful",96,8000000,100
"100-9-top3","ext","kmeans",3,10,4,"Careful | Early.Adopter | Fearful",96,8000000,100
"100-9-top3","ext","kmeans",4,0,4,"Careful | Early.Adopter | Fearful | Homo.Economicus",0,0,0
"100-9-top3","ext","kmeans",4,2,4,"Careful | Early.Adopter | Fearful | Homo.Economicus",0,0,0
"100-9-top3","ext","kmeans",4,4,4,"Careful | Early.Adopter | Fearful | Homo.Economicus",19,3018928,37.7366
"100-9-top3","ext","kmeans",4,6,4,"Careful | Early.Adopter | Fearful | Homo.Economicus",85,7965885,99.5735625
"100-9-top3","ext","kmeans",4,8,4,"Careful | Early.Adopter | Fearful | Homo.Economicus",96,8000000,100
