"cluster","n_active_dets","active_determinants"
"cluster_1",0,""
"cluster_2",15,"CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; SAFETY; COST EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; SELF SATISFACTION; COMMITMENT; ADHERENCE; WELLBEING; RECOGNITION; OWN SIGNIFICANCE"
"cluster_3",15,"PROFITS; CREDIT SCORE; RISK PROFILE; FRUGALITY; COST EFFICIENCY; KNOWLEDGE; TECHNICAL FIT; SELF SATISFACTION; ADHERENCE; SUPPORT; SOCIALISING; RECOGNITION; TRENDS; AUTHORITY; OWN SIGNIFICANCE"
