bootstrap_id,mean_similarity_to_others
86,85.20622895622895
12,85.03787878787878
92,84.86952861952862
57,84.68013468013469
59,84.4486531986532
15,84.42760942760943
76,84.40656565656566
80,84.40656565656566
31,84.21717171717172
95,84.19612794612794
85,84.17508417508418
99,84.1540404040404
42,84.006734006734
62,83.98569023569024
72,83.77525252525253
18,83.75420875420876
43,83.5016835016835
14,83.41750841750842
55,83.37542087542087
74,83.35437710437711
32,83.31228956228956
81,83.31228956228956
24,83.27020202020202
90,83.18602693602693
33,83.14393939393939
49,83.12289562289563
79,83.12289562289563
26,83.08080808080808
11,83.01767676767676
25,82.996632996633
63,82.996632996633
83,82.97558922558923
84,82.93350168350169
50,82.89141414141415
65,82.78619528619528
68,82.72306397306397
94,82.68097643097643
28,82.63888888888889
71,82.63888888888889
34,82.61784511784512
19,82.59680134680134
61,82.59680134680134
41,82.51262626262626
64,82.49158249158249
66,82.44949494949495
69,82.44949494949495
89,82.42845117845118
88,82.4074074074074
16,82.3442760942761
29,82.32323232323232
73,82.32323232323232
20,82.28114478114477
56,82.15488215488216
4,82.13383838383838
96,82.13383838383838
82,82.07070707070707
67,82.00757575757575
87,81.96548821548822
75,81.94444444444444
35,81.79713804713805
97,81.7550505050505
5,81.71296296296296
77,81.58670033670033
22,81.52356902356902
9,81.50252525252526
27,81.50252525252525
51,81.46043771043772
6,81.37626262626263
10,81.31313131313131
54,81.06060606060606
30,80.95538720538721
53,80.85016835016835
47,80.72390572390573
21,80.57659932659932
100,80.51346801346801
58,80.49242424242425
8,80.47138047138047
23,80.40824915824916
78,80.32407407407408
98,80.00841750841751
38,79.92424242424242
39,79.92424242424242
60,79.84006734006734
36,79.81902356902357
40,79.81902356902357
46,79.75589225589225
37,79.67171717171718
7,79.6506734006734
44,79.41919191919192
17,79.37710437710437
48,78.93518518518519
45,78.89309764309765
70,78.80892255892256
3,78.61952861952862
93,78.57744107744108
91,78.15656565656566
2,76.85185185185185
52,75.67340067340068
13,74.47390572390573
1,71.99074074074075
