"","Early Adopter","Uninterested","Homo Economicus","Fearful","Stubborn","Influencer","Careful","Activist"
"pattern_3",13,15,10,6,12,18,5,9
"pattern_10",15,15,10,8,12,18,7,11
"pattern_9",13,17,10,10,12,18,7,9
"pattern_43",13,17,10,8,12,18,5,9
"pattern_19",15,15,10,8,12,18,9,13
"pattern_1",15,15,12,10,12,18,9,11
"pattern_8",15,15,10,8,12,18,7,11
"pattern_24",15,15,10,8,12,18,9,11
"pattern_41",15,15,8,6,12,18,7,11
"pattern_36",15,15,10,6,12,18,7,11
"pattern_13",15,13,10,6,12,18,7,11
"pattern_27",15,15,8,6,12,18,7,11
"pattern_15",15,17,10,8,12,18,7,11
"pattern_17",15,17,10,8,12,18,7,11
"pattern_42",15,15,10,8,12,18,7,11
"pattern_57",13,17,10,10,12,16,7,9
"pattern_6",13,15,10,6,12,18,5,9
"pattern_35",15,15,12,10,12,18,9,13
"pattern_82",13,17,10,8,12,18,5,9
"pattern_89",13,15,12,8,12,18,5,9
"pattern_53",15,15,10,8,12,18,9,11
"pattern_39",13,17,10,8,12,18,5,9
"pattern_78",15,13,10,6,12,18,7,11
"pattern_22",15,13,8,6,12,18,7,11
"pattern_7",13,19,12,12,12,16,7,9
"pattern_48",13,17,8,8,12,18,7,9
"pattern_175",13,15,8,8,12,18,7,9
"pattern_129",13,17,10,10,12,18,9,9
"pattern_61",13,19,12,12,12,16,7,9
"pattern_111",13,17,12,10,12,18,7,9
"pattern_62",15,17,8,8,12,18,9,11
"pattern_21",13,19,12,12,12,16,7,9
"pattern_227",13,15,10,6,12,18,3,9
"pattern_255",15,15,10,8,12,18,7,13
"pattern_135",15,15,8,6,12,18,9,13
"pattern_101",15,15,12,8,12,18,7,11
"pattern_75",13,15,8,6,12,18,5,9
"pattern_176",15,15,12,10,12,18,9,13
"pattern_115",13,17,10,12,12,16,9,9
"pattern_18",15,15,12,8,12,16,7,11
"pattern_140",15,15,10,8,12,18,9,11
"pattern_228",13,17,10,8,12,18,5,11
"pattern_86",17,15,10,8,14,18,9,13
"pattern_97",15,13,10,8,12,18,9,13
"pattern_171",13,17,12,8,12,18,5,9
"pattern_238",15,13,8,8,12,18,9,11
"pattern_330",15,17,12,10,12,18,7,13
"pattern_64",13,17,10,10,12,16,9,9
"pattern_60",13,19,10,10,12,16,5,9
"pattern_158",15,15,8,6,12,18,9,11
"pattern_26",14,16,11,9,11,17,8,10
"pattern_137",13,17,12,10,12,16,7,9
"pattern_33",15,15,8,8,12,18,9,11
"pattern_271",15,15,10,10,12,18,9,13
"pattern_139",15,15,8,6,12,18,7,11
"pattern_373",13,17,10,8,12,18,7,9
"pattern_117",13,15,10,10,12,18,7,11
"pattern_47",15,15,10,8,12,18,9,13
"pattern_276",17,15,12,10,14,20,9,11
"pattern_14",15,15,8,6,12,18,9,13
"pattern_131",15,17,10,10,12,18,11,11
"pattern_83",13,17,12,8,12,16,5,9
"pattern_80",12,18,11,11,11,15,6,8
"pattern_340",15,13,8,6,12,18,11,13
"pattern_105",13,15,10,8,12,18,7,11
"pattern_299",13,15,10,6,12,18,5,9
"pattern_180",15,13,10,8,12,18,11,13
"pattern_165",13,15,10,8,12,18,5,9
"pattern_274",13,17,10,10,12,18,7,9
"pattern_203",13,17,12,8,12,18,3,9
"pattern_44",15,13,10,8,12,18,9,13
"pattern_68",13,15,12,8,12,18,5,9
"pattern_144",13,19,12,12,12,16,7,9
"pattern_152",15,15,12,10,12,18,9,15
"pattern_181",15,15,10,6,12,16,7,11
"pattern_343",15,15,10,8,12,18,11,13
"pattern_196",13,13,10,6,12,18,5,9
"pattern_149",15,17,10,8,12,18,7,13
"pattern_94",17,13,8,6,14,18,9,13
"pattern_123",17,13,10,8,14,20,9,11
"pattern_84",13,17,10,10,12,18,7,11
"pattern_25",13,17,12,10,12,18,7,9
"pattern_45",15,13,10,10,12,18,11,13
"pattern_50",13,17,12,10,12,18,7,11
"pattern_4",14,14,9,7,11,17,6,10
"pattern_381",15,13,8,6,12,18,9,11
"pattern_205",15,15,12,8,12,18,7,11
"pattern_622",13,15,10,10,12,18,9,11
"pattern_328",13,15,10,8,12,18,5,9
"pattern_156",13,17,12,10,12,18,5,11
"pattern_298",15,15,12,8,12,16,7,11
"pattern_415",13,17,8,8,12,18,5,9
"pattern_79",13,15,10,8,12,18,7,9
"pattern_20",13,17,10,12,12,18,9,9
"pattern_268",13,17,14,12,12,18,9,15
"pattern_462",15,15,12,10,12,16,9,13
"pattern_425",13,17,12,10,12,18,7,9
"pattern_530",15,15,8,6,12,18,9,11
"pattern_352",13,17,10,8,12,18,7,9
"pattern_305",9,15,10,8,8,14,5,5
"pattern_162",13,17,12,10,12,18,7,9
"pattern_383",15,13,8,6,12,18,9,13
"pattern_5",15,13,8,8,12,18,9,11
"pattern_113",13,15,8,6,12,18,7,11
"pattern_249",11,15,8,8,8,14,7,7
"pattern_260",13,17,8,8,12,18,7,9
"pattern_173",13,15,8,6,12,18,7,9
"pattern_118",12,18,11,11,11,17,8,8
"pattern_635",11,17,10,10,10,16,5,7
"pattern_208",13,17,10,8,12,16,5,9
"pattern_34",13,15,12,8,12,18,7,11
"pattern_148",13,19,12,12,12,18,7,9
"pattern_985",15,13,8,6,12,18,9,11
"pattern_107",13,17,10,10,10,16,9,9
"pattern_545",13,15,10,8,10,16,7,9
"pattern_291",15,13,10,8,12,18,9,11
"pattern_345",15,15,10,10,12,18,9,11
"pattern_394",15,15,10,6,12,18,7,11
"pattern_128",13,17,10,12,12,16,9,9
"pattern_193",13,17,12,10,12,18,7,13
"pattern_29",15,17,8,8,12,18,9,11
"pattern_194",12,14,9,7,9,15,6,8
"pattern_308",15,15,10,8,12,18,7,13
"pattern_569",13,15,10,10,12,18,9,13
"pattern_717",10,16,11,9,9,15,6,6
"pattern_247",17,13,12,8,14,20,9,11
"pattern_341",13,19,12,14,12,16,9,9
"pattern_376",13,19,14,12,12,16,7,9
"pattern_252",15,13,8,6,12,18,9,13
"pattern_102",15,15,10,10,12,18,9,11
"pattern_237",15,13,8,6,12,18,9,13
"pattern_145",13,15,12,10,12,18,7,13
"pattern_589",10,14,9,7,7,13,6,6
"pattern_265",13,19,10,12,12,16,7,9
"pattern_160",13,15,12,8,12,16,5,9
"pattern_70",13,15,10,6,12,18,7,9
"pattern_240",15,13,8,6,12,18,9,11
"pattern_138",13,17,12,10,12,18,7,13
"pattern_37",15,15,10,6,12,18,7,11
"pattern_640",13,17,8,10,12,18,7,9
"pattern_874",13,15,10,8,12,18,7,11
"pattern_92",15,13,8,6,12,18,11,13
"pattern_319",13,15,12,12,12,18,9,13
"pattern_170",15,13,10,8,12,18,9,11
"pattern_166",13,19,12,10,12,18,5,11
"pattern_587",15,15,8,6,12,18,11,13
"pattern_365",17,13,12,10,14,20,11,13
"pattern_535",13,17,12,8,12,16,5,9
"pattern_204",13,15,12,12,12,18,11,15
"pattern_665",13,17,10,10,12,18,7,9
"pattern_471",17,13,12,8,14,18,9,11
"pattern_409",11,17,12,10,10,16,7,7
"pattern_32",11,17,12,10,12,18,7,9
"pattern_192",13,17,10,8,12,18,7,13
"pattern_472",13,17,10,12,12,16,9,9
"pattern_287",12,16,9,9,9,15,8,8
"pattern_310",15,15,8,6,14,18,7,11
