"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,1,1,0.000125
6,3,8,0.001
7,13,23,0.002875
8,84,185,0.023125
9,139,314,0.03925
10,2983,184253,23.031625
11,3226,185475,23.184375
12,9909,442376,55.297
13,10303,449234,56.15425
14,15610,717474,89.68425
15,15850,725298,90.66225
16,17651,781922,97.74025
17,17731,786839,98.354875
18,18020,799865,99.983125
19,18022,799871,99.983875
20,18047,799919,99.989875
