"K","archetypes_used"
1,"Careful"
2,"Careful | Fearful"
3,"Careful | Fearful | Stubborn"
4,"Careful | Fearful | Stubborn | Homo Economicus"
5,"Careful | Fearful | Stubborn | Homo Economicus | Early Adopter"
6,"Careful | Fearful | Stubborn | Homo Economicus | Early Adopter | Influencer"
7,"Careful | Fearful | Stubborn | Homo Economicus | Early Adopter | Influencer | Uninterested"
