analysis_sample,matrix,matrix_name,d_det,d_hamming,min_common_pct,prototype,cumulative_covered_pct,prototype_label
COMPLETE,RAW,matrix_32_raw_0_1,8,4,75,1,23.335714285714054,P1
COMPLETE,RAW,matrix_32_raw_0_1,8,4,75,2,50.42285714285661,P2
COMPLETE,RAW,matrix_32_raw_0_1,8,4,75,3,75.24452380952303,P3
COMPLETE,RAW,matrix_32_raw_0_1,8,4,75,4,81.65428571428487,P4
COMPLETE,RAW,matrix_32_raw_0_1,8,4,75,5,85.25619047618959,P5
COMPLETE,RAW,matrix_32_raw_0_1,8,4,75,6,90.52119047618952,P6
COMPLETE,RAW,matrix_32_raw_0_1,8,4,75,7,93.00857142857046,P7
COMPLETE,RAW,matrix_32_raw_0_1,8,4,75,8,94.92404761904665,P8
COMPLETE,RAW,matrix_32_raw_0_1,9,4,77.77777777777777,1,24.90880952380925,P1
COMPLETE,RAW,matrix_32_raw_0_1,9,4,77.77777777777777,2,46.376904761904264,P2
COMPLETE,RAW,matrix_32_raw_0_1,9,4,77.77777777777777,3,68.67452380952308,P3
COMPLETE,RAW,matrix_32_raw_0_1,9,4,77.77777777777777,4,77.73571428571347,P4
COMPLETE,RAW,matrix_32_raw_0_1,9,4,77.77777777777777,5,86.7938095238086,P5
COMPLETE,RAW,matrix_32_raw_0_1,9,4,77.77777777777777,6,89.11880952380858,P6
COMPLETE,RAW,matrix_32_raw_0_1,9,4,77.77777777777777,7,90.11714285714191,P7
COMPLETE,RAW,matrix_32_raw_0_1,9,4,77.77777777777777,8,91.32928571428477,P8
COMPLETE,RAW,matrix_32_raw_0_1,10,4,80,1,21.904523809523617,P1
COMPLETE,RAW,matrix_32_raw_0_1,10,4,80,2,40.424285714285354,P2
COMPLETE,RAW,matrix_32_raw_0_1,10,4,80,3,53.42309523809477,P3
COMPLETE,RAW,matrix_32_raw_0_1,10,4,80,4,69.44928571428511,P4
COMPLETE,RAW,matrix_32_raw_0_1,10,4,80,5,76.49238095238029,P5
COMPLETE,RAW,matrix_32_raw_0_1,10,4,80,6,86.89761904761829,P6
COMPLETE,RAW,matrix_32_raw_0_1,10,4,80,7,88.57476190476113,P7
COMPLETE,RAW,matrix_32_raw_0_1,10,4,80,8,89.89476190476114,P8
COMPLETE,RAW,matrix_32_raw_0_1,11,4,81.81818181818181,1,19.65690476190452,P1
COMPLETE,RAW,matrix_32_raw_0_1,11,4,81.81818181818181,2,34.44952380952341,P2
COMPLETE,RAW,matrix_32_raw_0_1,11,4,81.81818181818181,3,49.426428571427984,P3
COMPLETE,RAW,matrix_32_raw_0_1,11,4,81.81818181818181,4,60.89452380952309,P4
COMPLETE,RAW,matrix_32_raw_0_1,11,4,81.81818181818181,5,72.30619047618964,P5
COMPLETE,RAW,matrix_32_raw_0_1,11,4,81.81818181818181,6,80.32547619047527,P6
COMPLETE,RAW,matrix_32_raw_0_1,11,4,81.81818181818181,7,85.04142857142759,P7
COMPLETE,RAW,matrix_32_raw_0_1,11,4,81.81818181818181,8,86.84619047618948,P8
COMPLETE,RAW,matrix_32_raw_0_1,12,6,75,1,26.0052380952378,P1
COMPLETE,RAW,matrix_32_raw_0_1,12,6,75,2,62.917619047618146,P2
COMPLETE,RAW,matrix_32_raw_0_1,12,6,75,3,78.39142857142751,P3
COMPLETE,RAW,matrix_32_raw_0_1,12,6,75,4,90.09761904761788,P4
COMPLETE,RAW,matrix_32_raw_0_1,12,6,75,5,92.63142857142736,P5
COMPLETE,RAW,matrix_32_raw_0_1,12,6,75,6,96.67785714285588,P6
COMPLETE,RAW,matrix_32_raw_0_1,12,6,75,7,98.04928571428444,P7
COMPLETE,RAW,matrix_32_raw_0_1,12,6,75,8,98.50642857142728,P8
COMPLETE,RAW,matrix_32_raw_0_1,13,6,76.92307692307692,1,21.44785714285691,P1
COMPLETE,RAW,matrix_32_raw_0_1,13,6,76.92307692307692,2,44.35833333333287,P2
COMPLETE,RAW,matrix_32_raw_0_1,13,6,76.92307692307692,3,80.66285714285617,P3
COMPLETE,RAW,matrix_32_raw_0_1,13,6,76.92307692307692,4,89.70142857142751,P4
COMPLETE,RAW,matrix_32_raw_0_1,13,6,76.92307692307692,5,92.150238095237,P5
COMPLETE,RAW,matrix_32_raw_0_1,13,6,76.92307692307692,6,93.96690476190363,P6
COMPLETE,RAW,matrix_32_raw_0_1,13,6,76.92307692307692,7,95.54214285714173,P7
COMPLETE,RAW,matrix_32_raw_0_1,13,6,76.92307692307692,8,98.60404761904644,P8
COMPLETE,RAW,matrix_32_raw_0_1,14,6,78.57142857142857,1,32.81047619047583,P1
COMPLETE,RAW,matrix_32_raw_0_1,14,6,78.57142857142857,2,52.39642857142807,P2
COMPLETE,RAW,matrix_32_raw_0_1,14,6,78.57142857142857,3,70.37952380952316,P3
COMPLETE,RAW,matrix_32_raw_0_1,14,6,78.57142857142857,4,92.36785714285634,P4
COMPLETE,RAW,matrix_32_raw_0_1,14,6,78.57142857142857,5,94.4785714285706,P5
COMPLETE,RAW,matrix_32_raw_0_1,14,6,78.57142857142857,6,95.66404761904678,P6
COMPLETE,RAW,matrix_32_raw_0_1,14,6,78.57142857142857,7,96.76999999999916,P7
COMPLETE,RAW,matrix_32_raw_0_1,14,6,78.57142857142857,8,98.8023809523801,P8
COMPLETE,RAW,matrix_32_raw_0_1,15,6,80,1,35.134523809523444,P1
COMPLETE,RAW,matrix_32_raw_0_1,15,6,80,2,53.219285714285185,P2
COMPLETE,RAW,matrix_32_raw_0_1,15,6,80,3,68.08999999999935,P3
COMPLETE,RAW,matrix_32_raw_0_1,15,6,80,4,89.41619047618966,P4
COMPLETE,RAW,matrix_32_raw_0_1,15,6,80,5,91.2380952380944,P5
COMPLETE,RAW,matrix_32_raw_0_1,15,6,80,6,93.54785714285627,P6
COMPLETE,RAW,matrix_32_raw_0_1,15,6,80,7,96.55238095238006,P7
COMPLETE,RAW,matrix_32_raw_0_1,15,6,80,8,98.71904761904672,P8
COMPLETE,POS,matrix_32_pos_0_1,8,4,75,1,34.4676190476187,P1
COMPLETE,POS,matrix_32_pos_0_1,8,4,75,2,71.23666666666597,P2
COMPLETE,POS,matrix_32_pos_0_1,8,4,75,3,85.49738095238014,P3
COMPLETE,POS,matrix_32_pos_0_1,8,4,75,4,91.42428571428484,P4
COMPLETE,POS,matrix_32_pos_0_1,8,4,75,5,92.52285714285628,P5
COMPLETE,POS,matrix_32_pos_0_1,8,4,75,6,95.0142857142848,P6
COMPLETE,POS,matrix_32_pos_0_1,8,4,75,7,96.25238095238004,P7
COMPLETE,POS,matrix_32_pos_0_1,8,4,75,8,96.57119047618956,P8
COMPLETE,POS,matrix_32_pos_0_1,9,4,77.77777777777777,1,43.708095238094735,P1
COMPLETE,POS,matrix_32_pos_0_1,9,4,77.77777777777777,2,69.77238095238022,P2
COMPLETE,POS,matrix_32_pos_0_1,9,4,77.77777777777777,3,85.67547619047531,P3
COMPLETE,POS,matrix_32_pos_0_1,9,4,77.77777777777777,4,89.40071428571336,P4
COMPLETE,POS,matrix_32_pos_0_1,9,4,77.77777777777777,5,91.1078571428562,P5
COMPLETE,POS,matrix_32_pos_0_1,9,4,77.77777777777777,6,93.4269047619038,P6
COMPLETE,POS,matrix_32_pos_0_1,9,4,77.77777777777777,7,94.00476190476094,P7
COMPLETE,POS,matrix_32_pos_0_1,9,4,77.77777777777777,8,94.33761904761808,P8
COMPLETE,POS,matrix_32_pos_0_1,10,4,80,1,35.458571428571084,P1
COMPLETE,POS,matrix_32_pos_0_1,10,4,80,2,63.61214285714222,P2
COMPLETE,POS,matrix_32_pos_0_1,10,4,80,3,77.47404761904687,P3
COMPLETE,POS,matrix_32_pos_0_1,10,4,80,4,85.15499999999919,P4
COMPLETE,POS,matrix_32_pos_0_1,10,4,80,5,89.59428571428487,P5
COMPLETE,POS,matrix_32_pos_0_1,10,4,80,6,92.39833333333246,P6
COMPLETE,POS,matrix_32_pos_0_1,10,4,80,7,94.16309523809434,P7
COMPLETE,POS,matrix_32_pos_0_1,10,4,80,8,94.8652380952372,P8
COMPLETE,POS,matrix_32_pos_0_1,11,4,81.81818181818181,1,27.28071428571396,P1
COMPLETE,POS,matrix_32_pos_0_1,11,4,81.81818181818181,2,67.20619047618963,P2
COMPLETE,POS,matrix_32_pos_0_1,11,4,81.81818181818181,3,81.2204761904752,P3
COMPLETE,POS,matrix_32_pos_0_1,11,4,81.81818181818181,4,85.66214285714184,P4
COMPLETE,POS,matrix_32_pos_0_1,11,4,81.81818181818181,5,87.76857142857038,P5
COMPLETE,POS,matrix_32_pos_0_1,11,4,81.81818181818181,6,91.49380952380844,P6
COMPLETE,POS,matrix_32_pos_0_1,11,4,81.81818181818181,7,94.16047619047508,P7
COMPLETE,POS,matrix_32_pos_0_1,11,4,81.81818181818181,8,94.68690476190363,P8
COMPLETE,POS,matrix_32_pos_0_1,12,6,75,1,81.92904761904738,P1
COMPLETE,POS,matrix_32_pos_0_1,12,6,75,2,90.64880952380922,P2
COMPLETE,POS,matrix_32_pos_0_1,12,6,75,3,95.43214285714252,P3
COMPLETE,POS,matrix_32_pos_0_1,12,6,75,4,96.38952380952344,P4
COMPLETE,POS,matrix_32_pos_0_1,12,6,75,5,98.6121428571425,P5
COMPLETE,POS,matrix_32_pos_0_1,12,6,75,6,98.960952380952,P6
COMPLETE,POS,matrix_32_pos_0_1,12,6,75,7,99.40642857142818,P7
COMPLETE,POS,matrix_32_pos_0_1,12,6,75,8,99.55357142857105,P8
COMPLETE,POS,matrix_32_pos_0_1,13,6,76.92307692307692,1,57.54738095238081,P1
COMPLETE,POS,matrix_32_pos_0_1,13,6,76.92307692307692,2,94.28785714285658,P2
