matrix,comparison,n_pairs,sum_similarity,mean_similarity,median_similarity,min_similarity,max_similarity,n_gt50,n_ge50,pct_pairs_gt50
RAW,EFA_vs_EXPERTS,6,201.8001279765986,33.63335466276643,35.38461538461539,17.647058823529413,44.44444444444444,0,0,0
RAW,KM_vs_EFA,6,275,45.833333333333336,50,12.5,87.5,1,4,16.666666666666668
RAW,KM_vs_EXPERTS,6,251.16938616938614,41.86156436156436,43.05555555555556,16.666666666666668,54.54545454545455,2,2,33.333333333333336
POS,EFA_vs_EXPERTS,6,199.8124098124098,33.3020683020683,33.63636363636364,21.428571428571427,44.44444444444444,0,0,0
POS,KM_vs_EFA,6,300,50,50,25,75,1,5,16.666666666666668
POS,KM_vs_EXPERTS,6,310.3787878787879,51.72979797979798,47.27272727272727,33.333333333333336,75,3,3,50
EXT,EFA_vs_EXPERTS,6,186.58119658119656,31.096866096866094,40.83333333333333,7.6923076923076925,44.44444444444444,0,0,0
EXT,KM_vs_EFA,6,300,50,56.25,0,75,3,5,50
EXT,KM_vs_EXPERTS,6,264.31818181818187,44.053030303030305,43.93939393939394,16.666666666666668,70,3,3,50
Z_ABS,EFA_vs_EXPERTS,6,202.45143745143744,33.74190624190624,35.38461538461539,7.6923076923076925,54.54545454545455,1,1,16.666666666666668
Z_ABS,KM_vs_EFA,6,312.5,52.083333333333336,62.5,0,87.5,4,4,66.66666666666667
Z_ABS,KM_vs_EXPERTS,6,157.7777777777778,26.296296296296294,20.833333333333336,13.333333333333334,44.44444444444444,0,0,0
