analysis_sample,matrix,comparison,metric,n_pairs,sum_similarity,mean_similarity,median_similarity,min_similarity,max_similarity,n_gt50,n_ge50,pct_pairs_gt50
COMPLETE,RAW,EFA_vs_EXPERTS,jaccard_pct,6,172.90598290598288,28.817663817663817,32.05128205128205,7.6923076923076925,44.44444444444444,0,0,0
COMPLETE,RAW,KM_vs_EFA,overlap_left_pct,6,275,45.833333333333336,50,0,87.5,1,4,16.666666666666668
COMPLETE,RAW,KM_vs_EXPERTS,jaccard_pct,6,277.1794871794872,46.19658119658119,41.666666666666664,37.5,62.5,2,2,33.333333333333336
COMPLETE,POS,EFA_vs_EXPERTS,jaccard_pct,6,185.60606060606062,30.934343434343432,30.303030303030305,16.666666666666668,44.44444444444444,0,0,0
COMPLETE,POS,KM_vs_EFA,overlap_left_pct,6,250,41.666666666666664,50,0,62.5,1,4,16.666666666666668
COMPLETE,POS,KM_vs_EXPERTS,jaccard_pct,6,281.1147186147187,46.852453102453104,48.7012987012987,16.666666666666668,75,3,3,50
COMPLETE,EXT,EFA_vs_EXPERTS,jaccard_pct,6,180.3085803085803,30.051430051430053,29.02097902097902,7.6923076923076925,44.44444444444444,0,0,0
COMPLETE,EXT,KM_vs_EFA,overlap_left_pct,6,287.5,47.916666666666664,50,0,75,2,5,33.333333333333336
COMPLETE,EXT,KM_vs_EXPERTS,jaccard_pct,6,274.9320124320124,45.82200207200207,54.1958041958042,22.22222222222222,62.5,4,4,66.66666666666667
COMPLETE,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,6,187.16283716283715,31.193806193806193,29.02097902097902,7.6923076923076925,55.55555555555556,1,1,16.666666666666668
COMPLETE,Z_ABS,KM_vs_EFA,overlap_left_pct,6,362.5,60.416666666666664,62.5,25,100,3,4,50
COMPLETE,Z_ABS,KM_vs_EXPERTS,jaccard_pct,6,165.81973581973583,27.636622636622636,29.02097902097902,13.333333333333334,44.44444444444444,0,0,0
EUROPE,RAW,EFA_vs_EXPERTS,jaccard_pct,6,197.24830724830724,32.874717874717874,32.05128205128205,21.428571428571427,44.44444444444444,0,0,0
EUROPE,RAW,KM_vs_EFA,overlap_left_pct,6,262.5,43.75,43.75,25,62.5,1,3,16.666666666666668
EUROPE,RAW,KM_vs_EXPERTS,jaccard_pct,6,274.5027195027195,45.75045325045325,43.05555555555556,40,54.54545454545455,2,2,33.333333333333336
EUROPE,POS,EFA_vs_EXPERTS,jaccard_pct,6,201.8001279765986,33.63335466276643,35.38461538461539,17.647058823529413,44.44444444444444,0,0,0
EUROPE,POS,KM_vs_EFA,overlap_left_pct,6,287.5,47.916666666666664,50,25,75,1,4,16.666666666666668
EUROPE,POS,KM_vs_EXPERTS,jaccard_pct,6,294.92424242424244,49.1540404040404,47.27272727272727,33.333333333333336,75,3,3,50
EUROPE,EXT,EFA_vs_EXPERTS,jaccard_pct,6,188.05555555555557,31.34259259259259,38.75,11.11111111111111,44.44444444444444,0,0,0
EUROPE,EXT,KM_vs_EFA,overlap_left_pct,6,262.5,43.75,56.25,0,75,3,4,50
EUROPE,EXT,KM_vs_EXPERTS,jaccard_pct,6,272.04545454545456,45.34090909090909,40.83333333333333,33.333333333333336,62.5,2,2,33.333333333333336
EUROPE,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,6,189.57264957264957,31.595441595441596,35.38461538461539,7.6923076923076925,44.44444444444444,0,0,0
EUROPE,Z_ABS,KM_vs_EFA,overlap_left_pct,6,387.5,64.58333333333333,75,0,100,4,5,66.66666666666667
EUROPE,Z_ABS,KM_vs_EXPERTS,jaccard_pct,6,169.77744477744474,28.296240796240795,23.214285714285715,7.6923076923076925,54.54545454545455,1,1,16.666666666666668
LATAM,RAW,EFA_vs_EXPERTS,jaccard_pct,6,167.56935874582933,27.928226457638225,29.02097902097902,16.666666666666668,44.44444444444444,0,0,0
LATAM,RAW,KM_vs_EFA,overlap_left_pct,6,237.5,39.583333333333336,43.75,0,87.5,1,3,16.666666666666668
LATAM,RAW,KM_vs_EXPERTS,jaccard_pct,6,204.56349206349202,34.09391534391534,39.58333333333333,16.666666666666668,44.44444444444444,0,0,0
LATAM,POS,EFA_vs_EXPERTS,jaccard_pct,6,176.47907647907647,29.413179413179414,26.136363636363637,16.666666666666668,44.44444444444444,0,0,0
LATAM,POS,KM_vs_EFA,overlap_left_pct,6,225,37.5,37.5,0,75,2,3,33.333333333333336
LATAM,POS,KM_vs_EXPERTS,jaccard_pct,6,199.64452214452217,33.274087024087024,32.05128205128205,27.272727272727273,40,0,0,0
LATAM,EXT,EFA_vs_EXPERTS,jaccard_pct,6,175.34354534354534,29.223924223924225,29.02097902097902,13.333333333333334,44.44444444444444,0,0,0
LATAM,EXT,KM_vs_EFA,overlap_left_pct,6,300,50,56.25,0,75,3,4,50
LATAM,EXT,KM_vs_EXPERTS,jaccard_pct,6,213.90415140415138,35.650691900691896,39.58333333333333,16.666666666666668,44.44444444444444,0,0,0
LATAM,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,6,184.54545454545456,30.757575757575758,27.77777777777778,13.333333333333334,54.54545454545455,1,1,16.666666666666668
LATAM,Z_ABS,KM_vs_EFA,overlap_left_pct,6,337.5,56.25,56.25,12.5,87.5,3,5,50
LATAM,Z_ABS,KM_vs_EXPERTS,jaccard_pct,6,200.0874125874126,33.3479020979021,32.05128205128205,16.666666666666668,54.54545454545455,1,1,16.666666666666668
DIEGO,RAW,EFA_vs_EXPERTS,jaccard_pct,6,233.22510822510822,38.87085137085137,42.26190476190476,21.428571428571427,55.55555555555556,1,1,16.666666666666668
DIEGO,RAW,KM_vs_EFA,overlap_left_pct,6,250,41.666666666666664,37.5,12.5,87.5,2,3,33.333333333333336
DIEGO,RAW,KM_vs_EXPERTS,jaccard_pct,6,159.27876045523104,26.546460075871842,24.747474747474747,7.6923076923076925,44.44444444444444,0,0,0
DIEGO,POS,EFA_vs_EXPERTS,jaccard_pct,6,222.71062271062272,37.118437118437114,37.60683760683761,16.666666666666668,55.55555555555556,2,2,33.333333333333336
DIEGO,POS,KM_vs_EFA,overlap_left_pct,6,237.5,39.583333333333336,37.5,0,75,2,3,33.333333333333336
DIEGO,POS,KM_vs_EXPERTS,jaccard_pct,6,247.55494505494505,41.25915750915751,38.75,21.428571428571427,75,1,1,16.666666666666668
DIEGO,EXT,EFA_vs_EXPERTS,jaccard_pct,6,137.45421245421244,22.909035409035408,23.214285714285715,7.6923076923076925,40,0,0,0
DIEGO,EXT,KM_vs_EFA,overlap_left_pct,6,225,37.5,37.5,12.5,62.5,1,2,16.666666666666668
DIEGO,EXT,KM_vs_EXPERTS,jaccard_pct,6,160.28775146422205,26.71462524403701,24.747474747474747,17.647058823529413,44.44444444444444,0,0,0
DIEGO,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,6,157.17615717615715,26.196026196026196,24.35064935064935,16.666666666666668,42.857142857142854,0,0,0
DIEGO,Z_ABS,KM_vs_EFA,overlap_left_pct,6,250,41.666666666666664,37.5,25,62.5,1,2,16.666666666666668
DIEGO,Z_ABS,KM_vs_EXPERTS,jaccard_pct,6,178.2079032079032,29.701317201317202,26.136363636363637,18.181818181818183,55.55555555555556,1,1,16.666666666666668
