matrix,n_samples,mean_coverage_P6,median_coverage_P6,min_coverage_P6,max_coverage_P6,mean_efa_alignment,mean_KM_EFA,mean_KM_EXPERTS,mean_EFA_EXPERTS
RAW,7,77.35384353741394,87.10452380952287,22.491666666665925,91.9492857142845,74.76785714285714,42.55952380952381,38.1478702592148,31.494681788799436
POS,7,84.03775510203985,91.59095238095156,47.82499999999857,95.0142857142848,70.34226190476191,41.964285714285715,41.75760086474372,32.31965707806044
EXT,7,67.90629251700557,79.80857142856995,2.1728571428570773,84.56261904761759,64.25595238095238,44.94047619047619,39.70395967244707,28.962459498173786
Z_ABS,7,29.33891156462507,29.16285714285625,2.0042857142856545,52.34499999999871,62.14583333333333,54.166666666666664,30.053702910845768,30.407502161703842
