rank_by_total_sum,matrix,total_sum_similarity,global_mean_similarity,total_n_gt50,total_n_pairs,pct_total_gt50,global_median_similarity,total_n_ge50,sum_similarity__EFA_vs_EXPERTS,sum_similarity__KM_vs_EFA,sum_similarity__KM_vs_EXPERTS,mean_similarity__EFA_vs_EXPERTS,mean_similarity__KM_vs_EFA,mean_similarity__KM_vs_EXPERTS,n_gt50__EFA_vs_EXPERTS,n_gt50__KM_vs_EFA,n_gt50__KM_vs_EXPERTS,n_ge50__EFA_vs_EXPERTS,n_ge50__KM_vs_EFA,n_ge50__KM_vs_EXPERTS
1,POS,810.1911976911977,45.010622093955426,4,18,22.22222222222222,43.05555555555556,8,199.8124098124098,300,310.3787878787879,33.3020683020683,50,51.72979797979798,0,1,3,0,5,3
2,EXT,750.8993783993783,41.7166321332988,6,18,33.333333333333336,43.05555555555556,8,186.58119658119656,300,264.31818181818187,31.096866096866094,50,44.053030303030305,0,3,3,0,5,3
3,RAW,727.9695141459846,40.44275078588804,3,18,16.666666666666668,41.666666666666664,6,201.8001279765986,275,251.16938616938614,33.63335466276643,45.833333333333336,41.86156436156436,0,1,2,0,4,2
4,Z_ABS,672.7292152292151,37.37384529051196,5,18,27.77777777777778,35.38461538461539,5,202.45143745143744,312.5,157.7777777777778,33.74190624190624,52.083333333333336,26.296296296296294,1,4,0,1,4,0
