matrix,matrix_name,d_det,d_hamming,min_common_determinants,min_common_pct,coverage_P1,coverage_P2,coverage_P3,coverage_P4,coverage_P5,coverage_P6,coverage_P7,coverage_P8,k_for_80,k_for_85,k_for_90,max_coverage_available
RAW,matrix_32_raw_0_1,8,4,6,75,29.765476190475788,59.009285714284886,71.25738095237998,78.51714285714182,81.57928571428462,84.09738095237984,86.65499999999885,91.18142857142738,5,7,8,94.90071428571304
RAW,matrix_32_raw_0_1,9,4,7,77.77777777777777,24.99357142857111,49.73071428571363,60.870238095237305,67.38261904761818,73.91547619047522,81.56261904761799,86.99333333333222,88.82214285714171,6,7,9,92.34452380952264
RAW,matrix_32_raw_0_1,10,4,8,80,18.78880952380925,46.62952380952311,57.74999999999915,65.63499999999902,71.24857142857037,80.58261904761787,84.8769047619035,86.37357142857016,6,8,11,91.90952380952244
RAW,matrix_32_raw_0_1,11,4,9,81.81818181818181,30.8999999999994,45.01785714285632,59.78071428571323,65.28238095237981,73.6019047619035,75.1649999999987,80.00261904761769,84.1980952380938,7,9,12,90.39952380952226
RAW,matrix_32_raw_0_1,12,6,9,75,38.70976190476113,69.93523809523678,85.5942857142842,88.83404761904606,90.46857142856985,92.43023809523648,93.71690476190314,95.20190476190312,3,3,5,97.73261904761736
RAW,matrix_32_raw_0_1,13,6,10,76.92307692307692,38.07642857142775,57.46380952380839,71.85119047618912,88.55761904761745,92.68761904761736,94.83261904761736,96.38309523809352,97.1738095238078,4,4,5,98.32380952380775
RAW,matrix_32_raw_0_1,14,6,11,78.57142857142857,16.259523809523586,36.55190476190424,68.09666666666551,87.05095238095096,91.64095238095088,94.22190476190325,94.9178571428556,95.6423809523794,4,4,5,97.7116666666651
RAW,matrix_32_raw_0_1,15,6,12,80,14.446190476190262,48.89690476190377,65.88380952380827,84.42261904761752,91.26999999999838,92.8033333333317,94.15833333333164,95.1899999999983,4,5,5,96.46833333333164
POS,matrix_32_pos_0_1,8,4,6,75,32.874047619047175,69.46309523809431,81.17166666666563,83.74999999999893,86.52809523809414,89.18142857142745,90.6030952380941,91.50642857142742,3,5,7,94.23619047618928
POS,matrix_32_pos_0_1,9,4,7,77.77777777777777,49.44428571428498,72.72547619047516,80.77738095237983,84.25071428571312,85.97928571428453,86.92357142857024,89.46214285714163,90.55071428571304,3,5,8,93.8216666666654
POS,matrix_32_pos_0_1,10,4,8,80,44.481666666665966,67.31142857142758,74.08619047618942,80.76261904761789,84.73761904761784,86.4490476190464,88.27642857142732,88.9266666666654,4,6,10,92.95595238095106
POS,matrix_32_pos_0_1,11,4,9,81.81818181818181,42.75428571428509,65.68261904761815,76.64499999999899,81.85523809523701,84.90952380952268,87.25999999999884,88.52761904761788,90.20833333333212,4,6,8,93.763095238094
POS,matrix_32_pos_0_1,12,6,9,75,56.48976190476144,83.45404761904682,88.69452380952295,92.024761904761,97.10857142857046,97.79738095237995,98.14214285714186,98.23261904761806,2,3,4,98.84404761904663
POS,matrix_32_pos_0_1,13,6,10,76.92307692307692,61.11190476190435,82.93309523809452,87.73928571428493,91.15523809523728,94.89809523809434,96.3083333333324,97.57047619047526,98.24976190476096,2,3,4,99.04642857142764
POS,matrix_32_pos_0_1,14,6,11,78.57142857142857,47.7664285714278,83.90214285714136,94.12357142856982,96.58452380952215,97.16976190476024,97.49547619047452,97.97833333333166,98.18023809523642,2,3,3,98.95476190476022
POS,matrix_32_pos_0_1,15,6,12,80,51.20785714285632,87.64928571428416,94.06142857142694,96.22023809523644,97.2107142857126,97.41261904761735,97.86690476190309,98.21285714285546,2,2,3,98.60238095237924
EXT,matrix_32_ext_0_1,8,4,6,75,32.93571428571353,61.14238095237956,68.09333333333178,73.90880952380786,75.90761904761733,78.14119047618873,78.61738095237918,80.24690476190297,8,NA,NA,82.8630952380934
