matrix,matrix_name,d_det,d_hamming,min_common_pct,prototype,cumulative_covered_pct,prototype_label
RAW,matrix_32_raw_0_1,13,6,76.92307692307692,2,57.46380952380839,P2
RAW,matrix_32_raw_0_1,13,6,76.92307692307692,3,71.85119047618912,P3
RAW,matrix_32_raw_0_1,13,6,76.92307692307692,4,88.55761904761745,P4
RAW,matrix_32_raw_0_1,13,6,76.92307692307692,5,92.68761904761736,P5
RAW,matrix_32_raw_0_1,13,6,76.92307692307692,6,94.83261904761736,P6
RAW,matrix_32_raw_0_1,13,6,76.92307692307692,7,96.38309523809352,P7
RAW,matrix_32_raw_0_1,13,6,76.92307692307692,8,97.1738095238078,P8
RAW,matrix_32_raw_0_1,14,6,78.57142857142857,1,16.259523809523586,P1
RAW,matrix_32_raw_0_1,14,6,78.57142857142857,2,36.55190476190424,P2
RAW,matrix_32_raw_0_1,14,6,78.57142857142857,3,68.09666666666551,P3
RAW,matrix_32_raw_0_1,14,6,78.57142857142857,4,87.05095238095096,P4
RAW,matrix_32_raw_0_1,14,6,78.57142857142857,5,91.64095238095088,P5
RAW,matrix_32_raw_0_1,14,6,78.57142857142857,6,94.22190476190325,P6
RAW,matrix_32_raw_0_1,14,6,78.57142857142857,7,94.9178571428556,P7
RAW,matrix_32_raw_0_1,14,6,78.57142857142857,8,95.6423809523794,P8
RAW,matrix_32_raw_0_1,15,6,80,1,14.446190476190262,P1
RAW,matrix_32_raw_0_1,15,6,80,2,48.89690476190377,P2
RAW,matrix_32_raw_0_1,15,6,80,3,65.88380952380827,P3
RAW,matrix_32_raw_0_1,15,6,80,4,84.42261904761752,P4
RAW,matrix_32_raw_0_1,15,6,80,5,91.26999999999838,P5
RAW,matrix_32_raw_0_1,15,6,80,6,92.8033333333317,P6
RAW,matrix_32_raw_0_1,15,6,80,7,94.15833333333164,P7
RAW,matrix_32_raw_0_1,15,6,80,8,95.1899999999983,P8
POS,matrix_32_pos_0_1,8,4,75,1,32.874047619047175,P1
POS,matrix_32_pos_0_1,8,4,75,2,69.46309523809431,P2
POS,matrix_32_pos_0_1,8,4,75,3,81.17166666666563,P3
POS,matrix_32_pos_0_1,8,4,75,4,83.74999999999893,P4
POS,matrix_32_pos_0_1,8,4,75,5,86.52809523809414,P5
POS,matrix_32_pos_0_1,8,4,75,6,89.18142857142745,P6
POS,matrix_32_pos_0_1,8,4,75,7,90.6030952380941,P7
POS,matrix_32_pos_0_1,8,4,75,8,91.50642857142742,P8
POS,matrix_32_pos_0_1,9,4,77.77777777777777,1,49.44428571428498,P1
POS,matrix_32_pos_0_1,9,4,77.77777777777777,2,72.72547619047516,P2
POS,matrix_32_pos_0_1,9,4,77.77777777777777,3,80.77738095237983,P3
POS,matrix_32_pos_0_1,9,4,77.77777777777777,4,84.25071428571312,P4
POS,matrix_32_pos_0_1,9,4,77.77777777777777,5,85.97928571428453,P5
POS,matrix_32_pos_0_1,9,4,77.77777777777777,6,86.92357142857024,P6
POS,matrix_32_pos_0_1,9,4,77.77777777777777,7,89.46214285714163,P7
POS,matrix_32_pos_0_1,9,4,77.77777777777777,8,90.55071428571304,P8
POS,matrix_32_pos_0_1,10,4,80,1,44.481666666665966,P1
POS,matrix_32_pos_0_1,10,4,80,2,67.31142857142758,P2
POS,matrix_32_pos_0_1,10,4,80,3,74.08619047618942,P3
POS,matrix_32_pos_0_1,10,4,80,4,80.76261904761789,P4
POS,matrix_32_pos_0_1,10,4,80,5,84.73761904761784,P5
POS,matrix_32_pos_0_1,10,4,80,6,86.4490476190464,P6
POS,matrix_32_pos_0_1,10,4,80,7,88.27642857142732,P7
POS,matrix_32_pos_0_1,10,4,80,8,88.9266666666654,P8
POS,matrix_32_pos_0_1,11,4,81.81818181818181,1,42.75428571428509,P1
POS,matrix_32_pos_0_1,11,4,81.81818181818181,2,65.68261904761815,P2
POS,matrix_32_pos_0_1,11,4,81.81818181818181,3,76.64499999999899,P3
POS,matrix_32_pos_0_1,11,4,81.81818181818181,4,81.85523809523701,P4
POS,matrix_32_pos_0_1,11,4,81.81818181818181,5,84.90952380952268,P5
POS,matrix_32_pos_0_1,11,4,81.81818181818181,6,87.25999999999884,P6
POS,matrix_32_pos_0_1,11,4,81.81818181818181,7,88.52761904761788,P7
POS,matrix_32_pos_0_1,11,4,81.81818181818181,8,90.20833333333212,P8
POS,matrix_32_pos_0_1,12,6,75,1,56.48976190476144,P1
POS,matrix_32_pos_0_1,12,6,75,2,83.45404761904682,P2
POS,matrix_32_pos_0_1,12,6,75,3,88.69452380952295,P3
POS,matrix_32_pos_0_1,12,6,75,4,92.024761904761,P4
POS,matrix_32_pos_0_1,12,6,75,5,97.10857142857046,P5
POS,matrix_32_pos_0_1,12,6,75,6,97.79738095237995,P6
POS,matrix_32_pos_0_1,12,6,75,7,98.14214285714186,P7
POS,matrix_32_pos_0_1,12,6,75,8,98.23261904761806,P8
POS,matrix_32_pos_0_1,13,6,76.92307692307692,1,61.11190476190435,P1
POS,matrix_32_pos_0_1,13,6,76.92307692307692,2,82.93309523809452,P2
POS,matrix_32_pos_0_1,13,6,76.92307692307692,3,87.73928571428493,P3
POS,matrix_32_pos_0_1,13,6,76.92307692307692,4,91.15523809523728,P4
POS,matrix_32_pos_0_1,13,6,76.92307692307692,5,94.89809523809434,P5
POS,matrix_32_pos_0_1,13,6,76.92307692307692,6,96.3083333333324,P6
POS,matrix_32_pos_0_1,13,6,76.92307692307692,7,97.57047619047526,P7
POS,matrix_32_pos_0_1,13,6,76.92307692307692,8,98.24976190476096,P8
POS,matrix_32_pos_0_1,14,6,78.57142857142857,1,47.7664285714278,P1
POS,matrix_32_pos_0_1,14,6,78.57142857142857,2,83.90214285714136,P2
POS,matrix_32_pos_0_1,14,6,78.57142857142857,3,94.12357142856982,P3
POS,matrix_32_pos_0_1,14,6,78.57142857142857,4,96.58452380952215,P4
POS,matrix_32_pos_0_1,14,6,78.57142857142857,5,97.16976190476024,P5
POS,matrix_32_pos_0_1,14,6,78.57142857142857,6,97.49547619047452,P6
POS,matrix_32_pos_0_1,14,6,78.57142857142857,7,97.97833333333166,P7
POS,matrix_32_pos_0_1,14,6,78.57142857142857,8,98.18023809523642,P8
POS,matrix_32_pos_0_1,15,6,80,1,51.20785714285632,P1
POS,matrix_32_pos_0_1,15,6,80,2,87.64928571428416,P2
POS,matrix_32_pos_0_1,15,6,80,3,94.06142857142694,P3
POS,matrix_32_pos_0_1,15,6,80,4,96.22023809523644,P4
POS,matrix_32_pos_0_1,15,6,80,5,97.2107142857126,P5
POS,matrix_32_pos_0_1,15,6,80,6,97.41261904761735,P6
POS,matrix_32_pos_0_1,15,6,80,7,97.86690476190309,P7
POS,matrix_32_pos_0_1,15,6,80,8,98.21285714285546,P8
EXT,matrix_32_ext_0_1,8,4,75,1,32.93571428571353,P1
EXT,matrix_32_ext_0_1,8,4,75,2,61.14238095237956,P2
EXT,matrix_32_ext_0_1,8,4,75,3,68.09333333333178,P3
EXT,matrix_32_ext_0_1,8,4,75,4,73.90880952380786,P4
EXT,matrix_32_ext_0_1,8,4,75,5,75.90761904761733,P5
EXT,matrix_32_ext_0_1,8,4,75,6,78.14119047618873,P6
EXT,matrix_32_ext_0_1,8,4,75,7,78.61738095237918,P7
EXT,matrix_32_ext_0_1,8,4,75,8,80.24690476190297,P8
EXT,matrix_32_ext_0_1,9,4,77.77777777777777,1,29.441666666665945,P1
EXT,matrix_32_ext_0_1,9,4,77.77777777777777,2,56.91285714285581,P2
EXT,matrix_32_ext_0_1,9,4,77.77777777777777,3,64.64214285714138,P3
EXT,matrix_32_ext_0_1,9,4,77.77777777777777,4,70.7945238095222,P4
EXT,matrix_32_ext_0_1,9,4,77.77777777777777,5,72.65880952380786,P5
EXT,matrix_32_ext_0_1,9,4,77.77777777777777,6,74.04404761904593,P6
EXT,matrix_32_ext_0_1,9,4,77.77777777777777,7,75.43071428571257,P7
EXT,matrix_32_ext_0_1,9,4,77.77777777777777,8,76.21833333333159,P8
EXT,matrix_32_ext_0_1,10,4,80,1,27.89285714285647,P1
EXT,matrix_32_ext_0_1,10,4,80,2,51.11761904761786,P2
EXT,matrix_32_ext_0_1,10,4,80,3,58.858333333331984,P3
EXT,matrix_32_ext_0_1,10,4,80,4,64.70166666666519,P4
EXT,matrix_32_ext_0_1,10,4,80,5,67.1890476190461,P5
EXT,matrix_32_ext_0_1,10,4,80,6,69.49380952380794,P6
EXT,matrix_32_ext_0_1,10,4,80,7,70.27833333333174,P7
EXT,matrix_32_ext_0_1,10,4,80,8,71.52952380952219,P8
EXT,matrix_32_ext_0_1,11,4,81.81818181818181,1,20.618095238094757,P1
EXT,matrix_32_ext_0_1,11,4,81.81818181818181,2,46.394761904760834,P2
EXT,matrix_32_ext_0_1,11,4,81.81818181818181,3,54.54738095237969,P3
EXT,matrix_32_ext_0_1,11,4,81.81818181818181,4,59.59238095237958,P4
EXT,matrix_32_ext_0_1,11,4,81.81818181818181,5,62.53404761904617,P5
EXT,matrix_32_ext_0_1,11,4,81.81818181818181,6,63.81047619047471,P6
EXT,matrix_32_ext_0_1,11,4,81.81818181818181,7,66.56142857142702,P7
EXT,matrix_32_ext_0_1,11,4,81.81818181818181,8,68.09023809523651,P8
EXT,matrix_32_ext_0_1,12,6,75,1,25.50761904761848,P1
EXT,matrix_32_ext_0_1,12,6,75,2,59.132619047617474,P2
EXT,matrix_32_ext_0_1,12,6,75,3,69.7909523809506,P3
EXT,matrix_32_ext_0_1,12,6,75,4,72.63499999999816,P4
EXT,matrix_32_ext_0_1,12,6,75,5,77.71214285714089,P5
EXT,matrix_32_ext_0_1,12,6,75,6,81.08785714285511,P6
EXT,matrix_32_ext_0_1,12,6,75,7,81.87857142856937,P7
EXT,matrix_32_ext_0_1,12,6,75,8,83.74380952380743,P8
EXT,matrix_32_ext_0_1,13,6,76.92307692307692,1,26.136904761904137,P1
EXT,matrix_32_ext_0_1,13,6,76.92307692307692,2,58.44452380952226,P2
EXT,matrix_32_ext_0_1,13,6,76.92307692307692,3,70.8788095238077,P3
EXT,matrix_32_ext_0_1,13,6,76.92307692307692,4,72.87976190476004,P4
EXT,matrix_32_ext_0_1,13,6,76.92307692307692,5,75.33285714285522,P5
EXT,matrix_32_ext_0_1,13,6,76.92307692307692,6,78.0907142857123,P6
EXT,matrix_32_ext_0_1,13,6,76.92307692307692,7,78.78190476190275,P7
EXT,matrix_32_ext_0_1,13,6,76.92307692307692,8,82.79833333333124,P8
EXT,matrix_32_ext_0_1,14,6,78.57142857142857,1,25.81976190476127,P1
EXT,matrix_32_ext_0_1,14,6,78.57142857142857,2,54.949999999998674,P2
EXT,matrix_32_ext_0_1,14,6,78.57142857142857,3,65.72857142856984,P3
EXT,matrix_32_ext_0_1,14,6,78.57142857142857,4,68.66261904761738,P4
EXT,matrix_32_ext_0_1,14,6,78.57142857142857,5,74.72714285714105,P5
EXT,matrix_32_ext_0_1,14,6,78.57142857142857,6,79.04952380952189,P6
EXT,matrix_32_ext_0_1,14,6,78.57142857142857,7,81.41333333333135,P7
EXT,matrix_32_ext_0_1,14,6,78.57142857142857,8,82.46999999999801,P8
EXT,matrix_32_ext_0_1,15,6,80,1,26.813571428570743,P1
EXT,matrix_32_ext_0_1,15,6,80,2,53.363571428570104,P2
EXT,matrix_32_ext_0_1,15,6,80,3,62.25261904761752,P3
EXT,matrix_32_ext_0_1,15,6,80,4,73.11142857142679,P4
EXT,matrix_32_ext_0_1,15,6,80,5,75.10095238095055,P5
EXT,matrix_32_ext_0_1,15,6,80,6,77.17833333333147,P6
EXT,matrix_32_ext_0_1,15,6,80,7,79.0640476190457,P7
EXT,matrix_32_ext_0_1,15,6,80,8,79.36999999999807,P8
Z_ABS,matrix_32_z_abs,8,4,75,1,18.5880952380947,P1
Z_ABS,matrix_32_z_abs,8,4,75,2,30.847619047618167,P2
Z_ABS,matrix_32_z_abs,8,4,75,3,38.594285714284624,P3
Z_ABS,matrix_32_z_abs,8,4,75,4,44.131904761903506,P4
Z_ABS,matrix_32_z_abs,8,4,75,5,46.54428571428439,P5
Z_ABS,matrix_32_z_abs,8,4,75,6,51.35380952380806,P6
Z_ABS,matrix_32_z_abs,8,4,75,7,52.41428571428421,P7
Z_ABS,matrix_32_z_abs,8,4,75,8,53.26119047618895,P8
Z_ABS,matrix_32_z_abs,9,4,77.77777777777777,1,19.000952380951784,P1
Z_ABS,matrix_32_z_abs,9,4,77.77777777777777,2,31.32214285714189,P2
Z_ABS,matrix_32_z_abs,9,4,77.77777777777777,3,37.11499999999886,P3
Z_ABS,matrix_32_z_abs,9,4,77.77777777777777,4,40.2578571428559,P4
Z_ABS,matrix_32_z_abs,9,4,77.77777777777777,5,46.37952380952237,P5
Z_ABS,matrix_32_z_abs,9,4,77.77777777777777,6,47.634047619046136,P6
Z_ABS,matrix_32_z_abs,9,4,77.77777777777777,7,48.36214285714135,P7
Z_ABS,matrix_32_z_abs,9,4,77.77777777777777,8,49.78119047618893,P8
Z_ABS,matrix_32_z_abs,10,4,80,1,18.798333333332696,P1
Z_ABS,matrix_32_z_abs,10,4,80,2,30.5995238095228,P2
Z_ABS,matrix_32_z_abs,10,4,80,3,35.992857142855954,P3
Z_ABS,matrix_32_z_abs,10,4,80,4,37.48238095237971,P4
Z_ABS,matrix_32_z_abs,10,4,80,5,39.4292857142844,P5
Z_ABS,matrix_32_z_abs,10,4,80,6,41.2316666666653,P6
Z_ABS,matrix_32_z_abs,10,4,80,7,41.99999999999861,P7
Z_ABS,matrix_32_z_abs,10,4,80,8,45.39809523809373,P8
Z_ABS,matrix_32_z_abs,11,4,81.81818181818181,1,16.831428571428024,P1
Z_ABS,matrix_32_z_abs,11,4,81.81818181818181,2,27.943809523808618,P2
Z_ABS,matrix_32_z_abs,11,4,81.81818181818181,3,31.688095238094196,P3
Z_ABS,matrix_32_z_abs,11,4,81.81818181818181,4,33.32714285714176,P4
Z_ABS,matrix_32_z_abs,11,4,81.81818181818181,5,38.160238095236835,P5
Z_ABS,matrix_32_z_abs,11,4,81.81818181818181,6,41.254523809522446,P6
Z_ABS,matrix_32_z_abs,11,4,81.81818181818181,7,42.94809523809382,P7
Z_ABS,matrix_32_z_abs,11,4,81.81818181818181,8,44.55214285714139,P8
Z_ABS,matrix_32_z_abs,12,6,75,1,20.9688095238088,P1
Z_ABS,matrix_32_z_abs,12,6,75,2,36.692857142855814,P2
Z_ABS,matrix_32_z_abs,12,6,75,3,42.40666666666513,P3
Z_ABS,matrix_32_z_abs,12,6,75,4,49.918333333331525,P4
Z_ABS,matrix_32_z_abs,12,6,75,5,55.31309523809324,P5
Z_ABS,matrix_32_z_abs,12,6,75,6,58.47976190475979,P6
Z_ABS,matrix_32_z_abs,12,6,75,7,62.82999999999773,P7
Z_ABS,matrix_32_z_abs,12,6,75,8,64.53285714285481,P8
Z_ABS,matrix_32_z_abs,13,6,76.92307692307692,1,20.67142857142782,P1
Z_ABS,matrix_32_z_abs,13,6,76.92307692307692,2,35.672857142855804,P2
Z_ABS,matrix_32_z_abs,13,6,76.92307692307692,3,38.48309523809379,P3
Z_ABS,matrix_32_z_abs,13,6,76.92307692307692,4,43.912380952379294,P4
Z_ABS,matrix_32_z_abs,13,6,76.92307692307692,5,51.7978571428552,P5
Z_ABS,matrix_32_z_abs,13,6,76.92307692307692,6,57.46142857142642,P6
Z_ABS,matrix_32_z_abs,13,6,76.92307692307692,7,60.4664285714263,P7
Z_ABS,matrix_32_z_abs,13,6,76.92307692307692,8,61.59999999999769,P8
Z_ABS,matrix_32_z_abs,14,6,78.57142857142857,1,16.82595238095175,P1
Z_ABS,matrix_32_z_abs,14,6,78.57142857142857,2,34.9114285714273,P2
Z_ABS,matrix_32_z_abs,14,6,78.57142857142857,3,44.01714285714126,P3
Z_ABS,matrix_32_z_abs,14,6,78.57142857142857,4,50.29928571428388,P4
Z_ABS,matrix_32_z_abs,14,6,78.57142857142857,5,53.96071428571232,P5
Z_ABS,matrix_32_z_abs,14,6,78.57142857142857,6,55.33833333333131,P6
Z_ABS,matrix_32_z_abs,14,6,78.57142857142857,7,58.69333333333118,P7
Z_ABS,matrix_32_z_abs,14,6,78.57142857142857,8,59.57071428571211,P8
Z_ABS,matrix_32_z_abs,15,6,80,1,19.03857142857082,P1
Z_ABS,matrix_32_z_abs,15,6,80,2,31.22714285714186,P2
Z_ABS,matrix_32_z_abs,15,6,80,3,42.94333333333194,P3
Z_ABS,matrix_32_z_abs,15,6,80,4,47.932857142855575,P4
Z_ABS,matrix_32_z_abs,15,6,80,5,48.826904761903165,P5
Z_ABS,matrix_32_z_abs,15,6,80,6,49.94499999999836,P6
Z_ABS,matrix_32_z_abs,15,6,80,7,50.71261904761738,P7
Z_ABS,matrix_32_z_abs,15,6,80,8,53.30285714285539,P8
