matrix,matrix_name,d_det,d_hamming,min_common_pct,prototype,cumulative_covered_pct,prototype_label
RAW,matrix_32_raw_0_1,8,4,75,1,29.765476190475788,P1
RAW,matrix_32_raw_0_1,8,4,75,2,59.009285714284886,P2
RAW,matrix_32_raw_0_1,8,4,75,3,71.25738095237998,P3
RAW,matrix_32_raw_0_1,8,4,75,4,78.51714285714182,P4
RAW,matrix_32_raw_0_1,8,4,75,5,81.57928571428462,P5
RAW,matrix_32_raw_0_1,8,4,75,6,84.09738095237984,P6
RAW,matrix_32_raw_0_1,8,4,75,7,86.65499999999885,P7
RAW,matrix_32_raw_0_1,8,4,75,8,91.18142857142738,P8
RAW,matrix_32_raw_0_1,9,4,77.77777777777777,1,24.99357142857111,P1
RAW,matrix_32_raw_0_1,9,4,77.77777777777777,2,49.73071428571363,P2
RAW,matrix_32_raw_0_1,9,4,77.77777777777777,3,60.870238095237305,P3
RAW,matrix_32_raw_0_1,9,4,77.77777777777777,4,67.38261904761818,P4
RAW,matrix_32_raw_0_1,9,4,77.77777777777777,5,73.91547619047522,P5
RAW,matrix_32_raw_0_1,9,4,77.77777777777777,6,81.56261904761799,P6
RAW,matrix_32_raw_0_1,9,4,77.77777777777777,7,86.99333333333222,P7
RAW,matrix_32_raw_0_1,9,4,77.77777777777777,8,88.82214285714171,P8
RAW,matrix_32_raw_0_1,10,4,80,1,18.78880952380925,P1
RAW,matrix_32_raw_0_1,10,4,80,2,46.62952380952311,P2
RAW,matrix_32_raw_0_1,10,4,80,3,57.74999999999915,P3
RAW,matrix_32_raw_0_1,10,4,80,4,65.63499999999902,P4
RAW,matrix_32_raw_0_1,10,4,80,5,71.24857142857037,P5
RAW,matrix_32_raw_0_1,10,4,80,6,80.58261904761787,P6
RAW,matrix_32_raw_0_1,10,4,80,7,84.8769047619035,P7
RAW,matrix_32_raw_0_1,10,4,80,8,86.37357142857016,P8
RAW,matrix_32_raw_0_1,11,4,81.81818181818181,1,30.8999999999994,P1
RAW,matrix_32_raw_0_1,11,4,81.81818181818181,2,45.01785714285632,P2
RAW,matrix_32_raw_0_1,11,4,81.81818181818181,3,59.78071428571323,P3
RAW,matrix_32_raw_0_1,11,4,81.81818181818181,4,65.28238095237981,P4
RAW,matrix_32_raw_0_1,11,4,81.81818181818181,5,73.6019047619035,P5
RAW,matrix_32_raw_0_1,11,4,81.81818181818181,6,75.1649999999987,P6
RAW,matrix_32_raw_0_1,11,4,81.81818181818181,7,80.00261904761769,P7
RAW,matrix_32_raw_0_1,11,4,81.81818181818181,8,84.1980952380938,P8
RAW,matrix_32_raw_0_1,12,6,75,1,38.70976190476113,P1
RAW,matrix_32_raw_0_1,12,6,75,2,69.93523809523678,P2
RAW,matrix_32_raw_0_1,12,6,75,3,85.5942857142842,P3
RAW,matrix_32_raw_0_1,12,6,75,4,88.83404761904606,P4
RAW,matrix_32_raw_0_1,12,6,75,5,90.46857142856985,P5
RAW,matrix_32_raw_0_1,12,6,75,6,92.43023809523648,P6
RAW,matrix_32_raw_0_1,12,6,75,7,93.71690476190314,P7
RAW,matrix_32_raw_0_1,12,6,75,8,95.20190476190312,P8
RAW,matrix_32_raw_0_1,13,6,76.92307692307692,1,38.07642857142775,P1
