analysis_sample,matrix_name,matrix,n_valid_efa_bootstraps,efa_reference_bootstrap,mean_efa_alignment_similarity,median_efa_alignment_similarity,coverage_after_6_prototypes,mean_similarity__EFA_vs_EXPERTS,mean_similarity__KM_vs_EFA,mean_similarity__KM_vs_EXPERTS,median_similarity__EFA_vs_EXPERTS,median_similarity__KM_vs_EFA,median_similarity__KM_vs_EXPERTS,n_gt50__EFA_vs_EXPERTS,n_gt50__KM_vs_EFA,n_gt50__KM_vs_EXPERTS,n_ge50__EFA_vs_EXPERTS,n_ge50__KM_vs_EFA,n_ge50__KM_vs_EXPERTS
COMPLETE,matrix_32_raw_0_1,RAW,100,92,87.85416666666666,87.5,90.52119047618952,28.817663817663817,45.833333333333336,46.19658119658119,32.05128205128205,50,41.666666666666664,0,1,2,0,4,2
COMPLETE,matrix_32_pos_0_1,POS,100,86,85.35416666666666,87.5,95.0142857142848,30.934343434343432,41.666666666666664,46.852453102453104,30.303030303030305,50,48.7012987012987,0,1,3,0,4,3
COMPLETE,matrix_32_ext_0_1,EXT,100,56,72.02083333333334,75,84.56261904761759,30.051430051430053,47.916666666666664,45.82200207200207,29.02097902097902,50,54.1958041958042,0,2,4,0,5,4
COMPLETE,matrix_32_z_abs,Z_ABS,100,68,69.39583333333333,75,52.34499999999871,31.193806193806193,60.416666666666664,27.636622636622636,29.02097902097902,62.5,29.02097902097902,1,3,0,1,4,0
EUROPE,matrix_32_raw_0_1,RAW,100,94,80.45833333333333,75,85.1871428571419,32.874717874717874,43.75,45.75045325045325,32.05128205128205,43.75,43.05555555555556,0,1,2,0,3,2
EUROPE,matrix_32_pos_0_1,POS,100,30,76.64583333333334,75,91.620476190475,33.63335466276643,47.916666666666664,49.1540404040404,35.38461538461539,50,47.27272727272727,0,1,3,0,4,3
EUROPE,matrix_32_ext_0_1,EXT,100,93,67.47916666666666,62.5,77.14261904761739,31.34259259259259,43.75,45.34090909090909,38.75,56.25,40.83333333333333,0,3,2,0,4,2
EUROPE,matrix_32_z_abs,Z_ABS,100,6,66.16666666666666,62.5,49.749761904760646,31.595441595441596,64.58333333333333,28.296240796240795,35.38461538461539,75,23.214285714285715,0,4,1,0,5,1
LATAM,matrix_32_raw_0_1,RAW,100,45,79.375,87.5,91.9492857142845,27.928226457638225,39.583333333333336,34.09391534391534,29.02097902097902,43.75,39.58333333333333,0,1,0,0,3,0
LATAM,matrix_32_pos_0_1,POS,100,84,75.6875,75,91.59095238095156,29.413179413179414,37.5,33.274087024087024,26.136363636363637,37.5,32.05128205128205,0,2,0,0,3,0
