matrix,comparison,n_pairs,sum_similarity,mean_similarity,n_gt50,pct_pairs_gt50
RAW,KM_vs_EXPERTS,6,251.17,41.86,2,33.3
RAW,KM_vs_EFA,6,275,45.83,1,16.7
RAW,EFA_vs_EXPERTS,6,201.8,33.63,0,0
RAW,TOTAL,18,727.97,40.44,3,16.7
POS,KM_vs_EXPERTS,6,310.38,51.73,3,50
POS,KM_vs_EFA,6,300,50,1,16.7
POS,EFA_vs_EXPERTS,6,199.81,33.3,0,0
POS,TOTAL,18,810.19,45.01,4,22.2
EXT,KM_vs_EXPERTS,6,264.32,44.05,3,50
EXT,KM_vs_EFA,6,300,50,3,50
EXT,EFA_vs_EXPERTS,6,186.58,31.1,0,0
EXT,TOTAL,18,750.9,41.72,6,33.3
Z_ABS,KM_vs_EXPERTS,6,157.78,26.3,0,0
Z_ABS,KM_vs_EFA,6,312.5,52.08,4,66.7
Z_ABS,EFA_vs_EXPERTS,6,202.45,33.74,1,16.7
Z_ABS,TOTAL,18,672.73,37.37,5,27.8
