analysis_sample,n_matrices,mean_coverage_P6,mean_efa_alignment,mean_KM_EFA,mean_KM_EXPERTS,mean_EFA_EXPERTS
COMPLETE,4,80.61077380952266,78.65625,48.95833333333333,41.626914751914754,30.249310874310872
EUROPE,4,75.92499999999873,72.6875,50,42.135410885410884,32.36152668137962
LATAM,4,73.68517857142753,73.97395833333334,45.833333333333336,34.09164909164909,29.330726463079404
DIEGO,4,18.623452380951807,46.109375,40.104166666666664,31.05539000759589,31.273587523587523
RENOVISOR,4,73.64767857142752,72.234375,47.916666666666664,40.23350492100492,32.52859341094635
WHY_EUROPE,4,56.820357142856174,57.484375,44.791666666666664,38.67069273319274,30.498054505407445
WHY_LATAM,4,73.30196428571334,74,43.75,34.0969215969216,29.330726463079404
