analysis_sample,matrix,comparison,metric,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants,greater_than_50,greater_or_equal_50
COMPLETE,RAW,KM_vs_EFA,overlap_left_pct,KM2,EFA1,87.5,8,8,7,87.5,87.5,77.77777777777777,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,TRUE,TRUE
COMPLETE,RAW,KM_vs_EFA,overlap_left_pct,KM3,EFA3,50,8,8,4,50,50,33.333333333333336,det_11_knowledge; det_12_own_competence; det_15_self_satisfaction; det_17_adherence,FALSE,TRUE
COMPLETE,RAW,KM_vs_EFA,overlap_left_pct,KM5,EFA6,50,8,8,4,50,50,33.333333333333336,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_13_technical_fit,FALSE,TRUE
COMPLETE,RAW,KM_vs_EFA,overlap_left_pct,KM6,EFA4,50,8,8,4,50,50,33.333333333333336,det_09_safety; det_15_self_satisfaction; det_19_wellbeing; det_20_coziness,FALSE,TRUE
COMPLETE,RAW,KM_vs_EFA,overlap_left_pct,KM4,EFA5,37.5,8,8,3,37.5,37.5,23.076923076923077,det_08_trust; det_16_commitment; det_17_adherence,FALSE,FALSE
COMPLETE,RAW,KM_vs_EFA,overlap_left_pct,KM1,EFA2,0,8,8,0,0,0,0,NA,FALSE,FALSE
COMPLETE,RAW,KM_vs_EXPERTS,jaccard_pct,KM2,Influencer,62.5,8,5,5,62.5,100,62.5,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,TRUE,TRUE
COMPLETE,RAW,KM_vs_EXPERTS,jaccard_pct,KM3,Careful,53.84615384615385,8,12,7,87.5,58.333333333333336,53.84615384615385,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing,TRUE,TRUE
COMPLETE,RAW,KM_vs_EXPERTS,jaccard_pct,KM5,Homo.Economicus,41.666666666666664,8,9,5,62.5,55.55555555555556,41.666666666666664,det_01_profits; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,FALSE,FALSE
COMPLETE,RAW,KM_vs_EXPERTS,jaccard_pct,KM6,Fearful,41.666666666666664,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_19_wellbeing,FALSE,FALSE
COMPLETE,RAW,KM_vs_EXPERTS,jaccard_pct,KM4,Activist,40,8,6,4,50,66.66666666666667,40,det_08_trust; det_15_self_satisfaction; det_16_commitment; det_17_adherence,FALSE,FALSE
