analysis_sample,matrix,matrix_name,d_det,d_hamming,min_common_determinants,min_common_pct,coverage_P1,coverage_P2,coverage_P3,coverage_P4,coverage_P5,coverage_P6,coverage_P7,coverage_P8,prototypes_for_80,prototypes_for_85,prototypes_for_90,max_coverage_available
COMPLETE,RAW,matrix_32_raw_0_1,8,4,6,75,23.335714285714054,50.42285714285661,75.24452380952303,81.65428571428487,85.25619047618959,90.52119047618952,93.00857142857046,94.92404761904665,4,5,6,97.57309523809424
COMPLETE,RAW,matrix_32_raw_0_1,9,4,7,77.77777777777777,24.90880952380925,46.376904761904264,68.67452380952308,77.73571428571347,86.7938095238086,89.11880952380858,90.11714285714191,91.32928571428477,5,5,7,95.96190476190374
COMPLETE,RAW,matrix_32_raw_0_1,10,4,8,80,21.904523809523617,40.424285714285354,53.42309523809477,69.44928571428511,76.49238095238029,86.89761904761829,88.57476190476113,89.89476190476114,6,6,9,94.98238095238014
COMPLETE,RAW,matrix_32_raw_0_1,11,4,9,81.81818181818181,19.65690476190452,34.44952380952341,49.426428571427984,60.89452380952309,72.30619047618964,80.32547619047527,85.04142857142759,86.84619047618948,6,7,10,92.28380952380846
COMPLETE,RAW,matrix_32_raw_0_1,12,6,9,75,26.0052380952378,62.917619047618146,78.39142857142751,90.09761904761788,92.63142857142736,96.67785714285588,98.04928571428444,98.50642857142728,4,4,4,99.25357142857013
COMPLETE,RAW,matrix_32_raw_0_1,13,6,10,76.92307692307692,21.44785714285691,44.35833333333287,80.66285714285617,89.70142857142751,92.150238095237,93.96690476190363,95.54214285714173,98.60404761904644,3,4,5,99.54642857142738
COMPLETE,RAW,matrix_32_raw_0_1,14,6,11,78.57142857142857,32.81047619047583,52.39642857142807,70.37952380952316,92.36785714285634,94.4785714285706,95.66404761904678,96.76999999999916,98.8023809523801,4,4,4,99.482142857142
COMPLETE,RAW,matrix_32_raw_0_1,15,6,12,80,35.134523809523444,53.219285714285185,68.08999999999935,89.41619047618966,91.2380952380944,93.54785714285627,96.55238095238006,98.71904761904672,4,4,5,99.09642857142768
COMPLETE,POS,matrix_32_pos_0_1,8,4,6,75,34.4676190476187,71.23666666666597,85.49738095238014,91.42428571428484,92.52285714285628,95.0142857142848,96.25238095238004,96.57119047618956,3,3,4,98.1688095238086
COMPLETE,POS,matrix_32_pos_0_1,9,4,7,77.77777777777777,43.708095238094735,69.77238095238022,85.67547619047531,89.40071428571336,91.1078571428562,93.4269047619038,94.00476190476094,94.33761904761808,3,3,5,97.89619047618947
COMPLETE,POS,matrix_32_pos_0_1,10,4,8,80,35.458571428571084,63.61214285714222,77.47404761904687,85.15499999999919,89.59428571428487,92.39833333333246,94.16309523809434,94.8652380952372,4,4,6,96.75642857142766
COMPLETE,POS,matrix_32_pos_0_1,11,4,9,81.81818181818181,27.28071428571396,67.20619047618963,81.2204761904752,85.66214285714184,87.76857142857038,91.49380952380844,94.16047619047508,94.68690476190363,3,4,6,97.79619047618934
COMPLETE,POS,matrix_32_pos_0_1,12,6,9,75,81.92904761904738,90.64880952380922,95.43214285714252,96.38952380952344,98.6121428571425,98.960952380952,99.40642857142818,99.55357142857105,1,2,2,99.84285714285674
COMPLETE,POS,matrix_32_pos_0_1,13,6,10,76.92307692307692,57.54738095238081,94.28785714285658,95.82047619047562,97.86047619047558,99.12428571428512,99.5385714285708,99.72380952380892,99.75714285714224,2,2,2,99.9749999999994
COMPLETE,POS,matrix_32_pos_0_1,14,6,11,78.57142857142857,64.56571428571417,95.51690476190431,96.39047619047572,97.15833333333286,99.10119047619,99.70238095238048,99.79285714285666,99.8214285714281,2,2,2,99.94999999999952
