"mode","scenario","type","K","D","n_clusters_found","assigned_pct","unassigned_pct"
"32","10-32","pos",1,6,1,8.776575,91.223425
"32","10-32","pos",1,8,1,8.776575,91.223425
"32","10-32","pos",1,10,1,8.776575,91.223425
"32","10-32","pos",2,0,2,16.770875,83.229125
"32","10-32","pos",2,2,2,16.770875,83.229125
"32","10-32","pos",2,4,2,16.770875,83.229125
"32","10-32","pos",2,6,2,16.770875,83.229125
"32","10-32","pos",2,8,2,16.770875,83.229125
"32","10-32","pos",2,10,2,16.770875,83.229125
"32","10-32","pos",3,0,3,22.7518,77.2482
"32","10-32","pos",3,2,3,22.7518,77.2482
"32","10-32","pos",3,4,3,22.7518,77.2482
"32","10-32","pos",3,6,3,22.7518,77.2482
"32","10-32","pos",3,8,3,22.7518,77.2482
"32","10-32","pos",3,10,3,22.7518,77.2482
"32","10-32","pos",4,0,4,28.35935,71.64065
"32","10-32","pos",4,2,4,28.35935,71.64065
"32","10-32","pos",4,4,4,28.35935,71.64065
"32","10-32","pos",4,6,4,28.35935,71.64065
"32","10-32","pos",4,8,4,28.35935,71.64065
"32","10-32","pos",4,10,4,28.35935,71.64065
"32","10-32","pos",5,0,5,31.459925,68.540075
"32","10-32","pos",5,2,5,31.459925,68.540075
"32","10-32","pos",5,4,5,31.459925,68.540075
"32","10-32","pos",5,6,5,31.459925,68.540075
"32","10-32","pos",5,8,5,31.459925,68.540075
"32","10-32","pos",5,10,5,31.459925,68.540075
"32","10-32","pos",6,0,6,34.2235625,65.7764375
"32","10-32","pos",6,2,6,34.2235625,65.7764375
"32","10-32","pos",6,4,6,34.2235625,65.7764375
"32","10-32","pos",6,6,6,34.2235625,65.7764375
"32","10-32","pos",6,8,6,34.2235625,65.7764375
"32","10-32","pos",6,10,6,34.2235625,65.7764375
"32","10-32","pos",7,0,7,36.63855,63.36145
"32","10-32","pos",7,2,7,36.63855,63.36145
"32","10-32","pos",7,4,7,36.63855,63.36145
"32","10-32","pos",7,6,7,36.63855,63.36145
"32","10-32","pos",7,8,7,36.63855,63.36145
"32","10-32","pos",7,10,7,36.63855,63.36145
"32","10-32","pos",8,0,8,39.05125,60.94875
"32","10-32","pos",8,2,8,39.05125,60.94875
"32","10-32","pos",8,4,8,39.05125,60.94875
"32","10-32","pos",8,6,8,39.05125,60.94875
"32","10-32","pos",8,8,8,39.05125,60.94875
"32","10-32","pos",8,10,8,39.05125,60.94875
"32","100-32","ext",1,0,1,14.0727125,85.9272875
"32","100-32","ext",1,2,1,14.0727125,85.9272875
"32","100-32","ext",1,4,1,14.0727125,85.9272875
"32","100-32","ext",1,6,1,14.0727125,85.9272875
"32","100-32","ext",1,8,1,14.0727125,85.9272875
"32","100-32","ext",1,10,1,14.0727125,85.9272875
"32","100-32","ext",2,0,2,17.3393125,82.6606875
"32","100-32","ext",2,2,2,17.3393125,82.6606875
"32","100-32","ext",2,4,2,17.3393125,82.6606875
"32","100-32","ext",2,6,2,17.3393125,82.6606875
"32","100-32","ext",2,8,2,17.3393125,82.6606875
"32","100-32","ext",2,10,2,17.3393125,82.6606875
"32","100-32","ext",3,0,3,19.220775,80.779225
"32","100-32","ext",3,2,3,19.220775,80.779225
"32","100-32","ext",3,4,3,19.220775,80.779225
"32","100-32","ext",3,6,3,19.220775,80.779225
"32","100-32","ext",3,8,3,19.220775,80.779225
"32","100-32","ext",3,10,3,19.220775,80.779225
"32","100-32","ext",4,0,4,21.0228625,78.9771375
"32","100-32","ext",4,2,4,21.0228625,78.9771375
"32","100-32","ext",4,4,4,21.0228625,78.9771375
"32","100-32","ext",4,6,4,21.0228625,78.9771375
"32","100-32","ext",4,8,4,21.0228625,78.9771375
"32","100-32","ext",4,10,4,21.0228625,78.9771375
"32","100-32","ext",5,0,5,22.804375,77.195625
"32","100-32","ext",5,2,5,22.804375,77.195625
"32","100-32","ext",5,4,5,22.804375,77.195625
"32","100-32","ext",5,6,5,22.804375,77.195625
"32","100-32","ext",5,8,5,22.804375,77.195625
"32","100-32","ext",5,10,5,22.804375,77.195625
"32","100-32","ext",6,0,6,24.3519875,75.6480125
"32","100-32","ext",6,2,6,24.3519875,75.6480125
"32","100-32","ext",6,4,6,24.3519875,75.6480125
"32","100-32","ext",6,6,6,24.3519875,75.6480125
"32","100-32","ext",6,8,6,24.3519875,75.6480125
"32","100-32","ext",6,10,6,24.3519875,75.6480125
"32","100-32","ext",7,0,7,25.8610625,74.1389375
"32","100-32","ext",7,2,7,25.8610625,74.1389375
"32","100-32","ext",7,4,7,25.8610625,74.1389375
"32","100-32","ext",7,6,7,25.8610625,74.1389375
"32","100-32","ext",7,8,7,25.8610625,74.1389375
"32","100-32","ext",7,10,7,25.8610625,74.1389375
"32","100-32","ext",8,0,8,26.935325,73.064675
"32","100-32","ext",8,2,8,26.935325,73.064675
"32","100-32","ext",8,4,8,26.935325,73.064675
"32","100-32","ext",8,6,8,26.935325,73.064675
"32","100-32","ext",8,8,8,26.935325,73.064675
"32","100-32","ext",8,10,8,26.935325,73.064675
"32","100-32","pos",1,0,1,9.1665625,90.8334375
"32","100-32","pos",1,2,1,9.1665625,90.8334375
"32","100-32","pos",1,4,1,9.1665625,90.8334375
"32","100-32","pos",1,6,1,9.1665625,90.8334375
"32","100-32","pos",1,8,1,9.1665625,90.8334375
"32","100-32","pos",1,10,1,9.1665625,90.8334375
"32","100-32","pos",2,0,2,17.1011,82.8989
"32","100-32","pos",2,2,2,17.1011,82.8989
"32","100-32","pos",2,4,2,17.1011,82.8989
"32","100-32","pos",2,6,2,17.1011,82.8989
"32","100-32","pos",2,8,2,17.1011,82.8989
"32","100-32","pos",2,10,2,17.1011,82.8989
"32","100-32","pos",3,0,3,23.1799,76.8201
"32","100-32","pos",3,2,3,23.1799,76.8201
"32","100-32","pos",3,4,3,23.1799,76.8201
"32","100-32","pos",3,6,3,23.1799,76.8201
"32","100-32","pos",3,8,3,23.1799,76.8201
"32","100-32","pos",3,10,3,23.1799,76.8201
"32","100-32","pos",4,0,4,28.683725,71.316275
"32","100-32","pos",4,2,4,28.683725,71.316275
"32","100-32","pos",4,4,4,28.683725,71.316275
"32","100-32","pos",4,6,4,28.683725,71.316275
"32","100-32","pos",4,8,4,28.683725,71.316275
"32","100-32","pos",4,10,4,28.683725,71.316275
"32","100-32","pos",5,0,5,32.3769875,67.6230125
"32","100-32","pos",5,2,5,32.3769875,67.6230125
"32","100-32","pos",5,4,5,32.3769875,67.6230125
"32","100-32","pos",5,6,5,32.3769875,67.6230125
"32","100-32","pos",5,8,5,32.3769875,67.6230125
"32","100-32","pos",5,10,5,32.3769875,67.6230125
"32","100-32","pos",6,0,6,35.237725,64.762275
"32","100-32","pos",6,2,6,35.237725,64.762275
"32","100-32","pos",6,4,6,35.237725,64.762275
"32","100-32","pos",6,6,6,35.237725,64.762275
"32","100-32","pos",6,8,6,35.237725,64.762275
"32","100-32","pos",6,10,6,35.237725,64.762275
"32","100-32","pos",7,0,7,38.030725,61.969275
"32","100-32","pos",7,2,7,38.030725,61.969275
"32","100-32","pos",7,4,7,38.030725,61.969275
"32","100-32","pos",7,6,7,38.030725,61.969275
"32","100-32","pos",7,8,7,38.030725,61.969275
"32","100-32","pos",7,10,7,38.030725,61.969275
"32","100-32","pos",8,0,8,40.230475,59.769525
"32","100-32","pos",8,2,8,40.230475,59.769525
"32","100-32","pos",8,4,8,40.230475,59.769525
"32","100-32","pos",8,6,8,40.230475,59.769525
"32","100-32","pos",8,8,8,40.230475,59.769525
"32","100-32","pos",8,10,8,40.230475,59.769525
