analysis_sample,matrix_name,kmeans_prototype,kmeans_determinants,incremental_covered_pct,cumulative_covered_pct,efa_match,common_km_efa,similarity_km_efa_pct,jaccard_km_efa_pct,common_determinants_km_efa,efa_determinants,expert_match,expert_n_active,common_km_expert,km_determinants_found_in_expert_pct,expert_determinants_found_in_km_pct,jaccard_km_expert_pct,common_determinants_km_expert,expert_determinants
LATAM,matrix_32_z_abs,KM5,det_04_added_value; det_05_frugality; det_06_climate_protection; det_09_safety; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_20_coziness,4.70309523809509,24.44309523809449,EFA5,5,62.5,45.45454545454545,det_04_added_value; det_05_frugality; det_06_climate_protection; det_14_environmental_concerns; det_20_coziness,det_04_added_value; det_05_frugality; det_06_climate_protection; det_14_environmental_concerns; det_20_coziness; det_23_support; det_26_novelty; det_32_own_significance,Careful,12,5,62.5,41.666666666666664,33.333333333333336,det_06_climate_protection; det_09_safety; det_14_environmental_concerns; det_16_commitment; det_17_adherence,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
LATAM,matrix_32_z_abs,KM6,det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_18_autonomy; det_27_fun,4.719761904761758,29.16285714285625,EFA3,7,87.5,77.77777777777777,det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_18_autonomy,det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_18_autonomy,Homo.Economicus,9,6,75,66.66666666666667,54.54545454545455,det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,det_01_profits; det_04_added_value; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
DIEGO,matrix_32_raw_0_1,KM1,det_01_profits; det_02_credit_score; det_05_frugality; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,8.747857142856855,8.747857142856855,EFA1,4,50,33.333333333333336,det_01_profits; det_02_credit_score; det_05_frugality; det_28_recognition,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_18_autonomy; det_27_fun; det_28_recognition,Influencer,5,3,37.5,60,30,det_24_socialising; det_28_recognition; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
DIEGO,matrix_32_raw_0_1,KM2,det_08_trust; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_28_recognition; det_29_trends; det_31_approval; det_32_own_significance,6.64571428571407,15.393571428570926,EFA5,5,62.5,45.45454545454545,det_08_trust; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_32_own_significance,det_07_legal; det_08_trust; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_27_fun; det_32_own_significance,Activist,6,4,50,66.66666666666667,40,det_08_trust; det_15_self_satisfaction; det_16_commitment; det_17_adherence,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
DIEGO,matrix_32_raw_0_1,KM3,det_01_profits; det_08_trust; det_17_adherence; det_22_peer_pressure; det_26_novelty; det_28_recognition; det_29_trends; det_31_approval,2.1535714285713583,17.547142857142283,EFA6,1,12.5,6.666666666666667,det_26_novelty,det_09_safety; det_10_cost_efficiency; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_26_novelty; det_27_fun; det_30_authority,Influencer,5,3,37.5,60,30,det_22_peer_pressure; det_28_recognition; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
DIEGO,matrix_32_raw_0_1,KM4,det_17_adherence; det_22_peer_pressure; det_23_support; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,3.760238095237967,21.30738095238025,EFA2,7,87.5,77.77777777777777,det_22_peer_pressure; det_23_support; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,Influencer,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
DIEGO,matrix_32_raw_0_1,KM5,det_08_trust; det_09_safety; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_22_peer_pressure; det_23_support; det_32_own_significance,0.6730952380952159,21.980476190475464,EFA3,2,25,14.285714285714286,det_15_self_satisfaction; det_23_support,det_04_added_value; det_07_legal; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_21_rights_and_duties; det_23_support; det_25_agreement,Activist,6,4,50,66.66666666666667,40,det_08_trust; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
DIEGO,matrix_32_raw_0_1,KM6,det_01_profits; det_02_credit_score; det_03_risk_profile; det_17_adherence; det_20_coziness; det_28_recognition; det_29_trends; det_31_approval,0.5111904761904593,22.491666666665925,EFA4,1,12.5,6.666666666666667,det_03_risk_profile,det_03_risk_profile; det_06_climate_protection; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_14_environmental_concerns; det_21_rights_and_duties,Influencer,5,2,25,40,18.181818181818183,det_28_recognition; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
DIEGO,matrix_32_pos_0_1,KM1,det_08_trust; det_11_knowledge; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_32_own_significance,24.11809523809453,24.11809523809453,EFA6,6,75,60,det_08_trust; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_32_own_significance,det_04_added_value; det_06_climate_protection; det_08_trust; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_32_own_significance,Activist,6,6,75,100,75,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
DIEGO,matrix_32_pos_0_1,KM2,det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_19_wellbeing; det_20_coziness,7.721904761904535,31.839999999999065,EFA4,5,62.5,45.45454545454545,det_09_safety; det_10_cost_efficiency; det_15_self_satisfaction; det_19_wellbeing; det_20_coziness,det_09_safety; det_10_cost_efficiency; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_21_rights_and_duties; det_29_trends,Careful,12,6,75,50,42.857142857142854,det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_16_commitment; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
DIEGO,matrix_32_pos_0_1,KM3,det_04_added_value; det_06_climate_protection; det_08_trust; det_11_knowledge; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_26_novelty,6.0423809523807694,37.88238095237984,EFA5,2,25,14.285714285714286,det_04_added_value; det_08_trust,det_04_added_value; det_07_legal; det_08_trust; det_12_own_competence; det_21_rights_and_duties; det_22_peer_pressure; det_23_support; det_25_agreement,Activist,6,4,50,66.66666666666667,40,det_08_trust; det_15_self_satisfaction; det_16_commitment; det_17_adherence,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
DIEGO,matrix_32_pos_0_1,KM4,det_04_added_value; det_08_trust; det_11_knowledge; det_13_technical_fit; det_14_environmental_concerns; det_17_adherence; det_26_novelty; det_27_fun,4.039999999999871,41.92238095237971,EFA1,2,25,14.285714285714286,det_13_technical_fit; det_17_adherence,det_01_profits; det_02_credit_score; det_05_frugality; det_07_legal; det_10_cost_efficiency; det_13_technical_fit; det_17_adherence; det_18_autonomy,Activist,6,4,50,66.66666666666667,40,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_17_adherence,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
DIEGO,matrix_32_pos_0_1,KM5,det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_26_novelty; det_27_fun,3.409761904761797,45.3321428571415,EFA3,4,50,33.333333333333336,det_10_cost_efficiency; det_11_knowledge; det_14_environmental_concerns; det_26_novelty,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_17_adherence; det_26_novelty,Activist,6,4,50,66.66666666666667,40,det_08_trust; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
DIEGO,matrix_32_pos_0_1,KM6,det_06_climate_protection; det_08_trust; det_11_knowledge; det_17_adherence; det_19_wellbeing; det_20_coziness; det_27_fun; det_32_own_significance,2.4928571428570656,47.82499999999857,EFA2,0,0,0,NA,det_05_frugality; det_18_autonomy; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,Careful,12,5,62.5,41.666666666666664,33.333333333333336,det_06_climate_protection; det_08_trust; det_11_knowledge; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
DIEGO,matrix_32_ext_0_1,KM1,det_02_credit_score; det_06_climate_protection; det_15_self_satisfaction; det_17_adherence; det_20_coziness; det_22_peer_pressure; det_30_authority; det_32_own_significance,0.2019047619047558,0.2019047619047558,EFA6,4,50,33.333333333333336,det_02_credit_score; det_06_climate_protection; det_17_adherence; det_20_coziness,det_02_credit_score; det_05_frugality; det_06_climate_protection; det_09_safety; det_17_adherence; det_20_coziness; det_23_support; det_27_fun,Uninterested,6,3,37.5,50,27.272727272727273,det_20_coziness; det_22_peer_pressure; det_30_authority,det_07_legal; det_13_technical_fit; det_19_wellbeing; det_20_coziness; det_22_peer_pressure; det_30_authority
DIEGO,matrix_32_ext_0_1,KM2,det_01_profits; det_06_climate_protection; det_07_legal; det_12_own_competence; det_14_environmental_concerns; det_22_peer_pressure; det_25_agreement; det_31_approval,0.6973809523809315,0.8992857142856873,EFA3,5,62.5,45.45454545454545,det_01_profits; det_07_legal; det_12_own_competence; det_14_environmental_concerns; det_25_agreement,det_01_profits; det_02_credit_score; det_05_frugality; det_07_legal; det_12_own_competence; det_14_environmental_concerns; det_25_agreement; det_30_authority,Influencer,5,2,25,40,18.181818181818183,det_22_peer_pressure; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
DIEGO,matrix_32_ext_0_1,KM3,det_01_profits; det_06_climate_protection; det_09_safety; det_22_peer_pressure; det_23_support; det_24_socialising; det_28_recognition; det_31_approval,0.3788095238095124,1.2780952380951995,EFA1,2,25,14.285714285714286,det_01_profits; det_23_support,det_01_profits; det_16_commitment; det_19_wellbeing; det_21_rights_and_duties; det_23_support; det_25_agreement; det_29_trends; det_32_own_significance,Influencer,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
