analysis_sample,matrix_name,efa_factor,expert_profile,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
COMPLETE,matrix_32_raw_0_1,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_raw_0_1,EFA2,Careful,8,12,2,25,16.666666666666668,11.11111111111111,det_06_climate_protection; det_14_environmental_concerns
COMPLETE,matrix_32_raw_0_1,EFA3,Early.Adopter,8,6,4,50,66.66666666666667,40,det_11_knowledge; det_15_self_satisfaction; det_17_adherence; det_26_novelty
COMPLETE,matrix_32_raw_0_1,EFA4,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
COMPLETE,matrix_32_raw_0_1,EFA5,Careful,8,12,5,62.5,41.666666666666664,33.333333333333336,det_03_risk_profile; det_08_trust; det_09_safety; det_16_commitment; det_17_adherence
COMPLETE,matrix_32_raw_0_1,EFA6,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,matrix_32_pos_0_1,EFA1,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
COMPLETE,matrix_32_pos_0_1,EFA2,Fearful,8,9,5,62.5,55.55555555555556,41.666666666666664,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
COMPLETE,matrix_32_pos_0_1,EFA3,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_pos_0_1,EFA4,Activist,8,6,3,37.5,50,27.272727272727273,det_08_trust; det_13_technical_fit; det_14_environmental_concerns
COMPLETE,matrix_32_pos_0_1,EFA5,Activist,8,6,3,37.5,50,27.272727272727273,det_15_self_satisfaction; det_16_commitment; det_17_adherence
COMPLETE,matrix_32_pos_0_1,EFA6,Fearful,8,9,5,62.5,55.55555555555556,41.666666666666664,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge
COMPLETE,matrix_32_ext_0_1,EFA1,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,matrix_32_ext_0_1,EFA2,Careful,8,12,6,75,50,42.857142857142854,det_03_risk_profile; det_08_trust; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence
COMPLETE,matrix_32_ext_0_1,EFA3,Activist,8,6,3,37.5,50,27.272727272727273,det_13_technical_fit; det_15_self_satisfaction; det_16_commitment
COMPLETE,matrix_32_ext_0_1,EFA4,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_ext_0_1,EFA5,Uninterested,8,6,3,37.5,50,27.272727272727273,det_07_legal; det_19_wellbeing; det_20_coziness
COMPLETE,matrix_32_ext_0_1,EFA6,Careful,8,12,2,25,16.666666666666668,11.11111111111111,det_06_climate_protection; det_14_environmental_concerns
COMPLETE,matrix_32_z_abs,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_z_abs,EFA2,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,matrix_32_z_abs,EFA3,Homo.Economicus,8,9,3,37.5,33.333333333333336,21.428571428571427,det_01_profits; det_04_added_value; det_08_trust
COMPLETE,matrix_32_z_abs,EFA4,Activist,8,6,5,62.5,83.33333333333333,55.55555555555556,det_08_trust; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
COMPLETE,matrix_32_z_abs,EFA5,Fearful,8,9,2,25,22.22222222222222,13.333333333333334,det_02_credit_score; det_07_legal
COMPLETE,matrix_32_z_abs,EFA6,Uninterested,8,6,3,37.5,50,27.272727272727273,det_07_legal; det_19_wellbeing; det_20_coziness
EUROPE,matrix_32_raw_0_1,EFA1,Careful,8,12,5,62.5,41.666666666666664,33.333333333333336,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence
EUROPE,matrix_32_raw_0_1,EFA2,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_07_legal; det_08_trust; det_09_safety; det_13_technical_fit
EUROPE,matrix_32_raw_0_1,EFA3,Activist,8,6,4,50,66.66666666666667,40,det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
EUROPE,matrix_32_raw_0_1,EFA4,Homo.Economicus,8,9,3,37.5,33.333333333333336,21.428571428571427,det_01_profits; det_04_added_value; det_08_trust
EUROPE,matrix_32_raw_0_1,EFA5,Uninterested,8,6,3,37.5,50,27.272727272727273,det_13_technical_fit; det_19_wellbeing; det_20_coziness
EUROPE,matrix_32_raw_0_1,EFA6,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
EUROPE,matrix_32_pos_0_1,EFA1,Fearful,8,9,5,62.5,55.55555555555556,41.666666666666664,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
EUROPE,matrix_32_pos_0_1,EFA2,Careful,8,12,3,37.5,25,17.647058823529413,det_06_climate_protection; det_08_trust; det_14_environmental_concerns
EUROPE,matrix_32_pos_0_1,EFA3,Uninterested,8,6,3,37.5,50,27.272727272727273,det_13_technical_fit; det_19_wellbeing; det_20_coziness
EUROPE,matrix_32_pos_0_1,EFA4,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
EUROPE,matrix_32_pos_0_1,EFA5,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety
EUROPE,matrix_32_pos_0_1,EFA6,Activist,8,6,4,50,66.66666666666667,40,det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
EUROPE,matrix_32_ext_0_1,EFA1,Homo.Economicus,8,9,2,25,22.22222222222222,13.333333333333334,det_01_profits; det_04_added_value
EUROPE,matrix_32_ext_0_1,EFA2,Fearful,8,9,5,62.5,55.55555555555556,41.666666666666664,det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_19_wellbeing
EUROPE,matrix_32_ext_0_1,EFA3,Activist,8,6,4,50,66.66666666666667,40,det_08_trust; det_15_self_satisfaction; det_16_commitment; det_17_adherence
EUROPE,matrix_32_ext_0_1,EFA4,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_08_trust; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
EUROPE,matrix_32_ext_0_1,EFA5,Careful,8,12,2,25,16.666666666666668,11.11111111111111,det_06_climate_protection; det_14_environmental_concerns
EUROPE,matrix_32_ext_0_1,EFA6,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
EUROPE,matrix_32_z_abs,EFA1,Early.Adopter,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_26_novelty
EUROPE,matrix_32_z_abs,EFA2,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
EUROPE,matrix_32_z_abs,EFA3,Activist,8,6,3,37.5,50,27.272727272727273,det_08_trust; det_14_environmental_concerns; det_17_adherence
EUROPE,matrix_32_z_abs,EFA4,Fearful,8,9,5,62.5,55.55555555555556,41.666666666666664,det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_19_wellbeing
