analysis_sample,matrix_name,matrix,d_det,d_hamming,weighting,n_kmeans_prototypes,n_efa_factors,n_valid_efa_bootstraps,efa_reference_bootstrap,mean_efa_alignment_similarity,median_efa_alignment_similarity,mean_kmeans_efa_similarity,median_kmeans_efa_similarity,min_kmeans_efa_similarity,max_kmeans_efa_similarity,n_kmeans_efa_matches_ge_75,mean_best_kmeans_expert_jaccard,max_best_kmeans_expert_jaccard,mean_best_efa_expert_jaccard,max_best_efa_expert_jaccard,coverage_after_6_prototypes
COMPLETE,matrix_32_raw_0_1,RAW,8,4,equal_candidate,6,6,100,92,87.85416666666666,87.5,45.833333333333336,50,0,87.5,1,46.89102564102564,62.5,29.387464387464387,44.44444444444444,90.52119047618952
COMPLETE,matrix_32_pos_0_1,POS,8,4,equal_candidate,6,6,100,86,85.35416666666666,87.5,41.666666666666664,50,0,62.5,0,53.74347874347875,75,33.16498316498316,44.44444444444444,95.0142857142848
COMPLETE,matrix_32_ext_0_1,EXT,8,4,equal_candidate,6,6,100,56,72.02083333333334,75,47.916666666666664,50,0,75,1,51.92469567469568,62.5,30.62123062123062,44.44444444444444,84.56261904761759
COMPLETE,matrix_32_z_abs,Z_ABS,8,4,equal_candidate,6,6,100,68,69.39583333333333,75,60.416666666666664,62.5,25,100,3,28.810122339534104,44.44444444444444,32.13397713397713,55.55555555555556,52.34499999999871
EUROPE,matrix_32_raw_0_1,RAW,8,4,equal_candidate,6,6,100,94,80.45833333333333,75,43.75,43.75,25,62.5,0,45.75045325045325,54.54545454545455,32.874717874717874,44.44444444444444,85.1871428571419
EUROPE,matrix_32_pos_0_1,POS,8,4,equal_candidate,6,6,100,30,76.64583333333334,75,47.916666666666664,50,25,75,1,51.43578643578643,75,33.63335466276643,44.44444444444444,91.620476190475
EUROPE,matrix_32_ext_0_1,EXT,8,4,equal_candidate,6,6,100,93,67.47916666666666,62.5,43.75,56.25,0,75,1,47.668951418951416,62.5,32.03703703703704,44.44444444444444,77.14261904761739
EUROPE,matrix_32_z_abs,Z_ABS,8,4,equal_candidate,6,6,100,6,66.16666666666666,62.5,64.58333333333333,75,0,100,4,30.675343175343176,54.54545454545455,31.974229474229475,44.44444444444444,49.749761904760646
LATAM,matrix_32_raw_0_1,RAW,8,4,equal_candidate,6,6,100,45,79.375,87.5,39.583333333333336,43.75,0,87.5,1,40.1521164021164,44.44444444444444,27.928226457638225,44.44444444444444,91.9492857142845
LATAM,matrix_32_pos_0_1,POS,8,4,equal_candidate,6,6,100,84,75.6875,75,37.5,37.5,0,75,1,37.20238095238095,42.857142857142854,29.665704665704666,44.44444444444444,91.59095238095156
LATAM,matrix_32_ext_0_1,EXT,8,4,equal_candidate,6,6,100,84,72.41666666666667,75,50,56.25,0,75,2,41.17317867317867,44.44444444444444,30.017575017575016,44.44444444444444,82.03761904761778
LATAM,matrix_32_z_abs,Z_ABS,8,4,equal_candidate,6,6,100,32,68.41666666666667,75,56.25,56.25,12.5,87.5,2,36.63974913974914,54.54545454545455,31.939492968904734,54.54545454545455,29.16285714285625
DIEGO,matrix_32_raw_0_1,RAW,8,4,equal_candidate,6,6,100,22,51.97916666666667,50,41.666666666666664,37.5,12.5,87.5,1,33.77104377104377,44.44444444444444,38.87085137085137,55.55555555555556,22.491666666665925
DIEGO,matrix_32_pos_0_1,POS,8,4,equal_candidate,6,6,100,77,48.333333333333336,50,39.583333333333336,37.5,0,75,1,45.198412698412696,75,37.91208791208791,55.55555555555556,47.82499999999857
DIEGO,matrix_32_ext_0_1,EXT,8,4,equal_candidate,6,6,100,58,42.020833333333336,37.5,37.5,37.5,12.5,62.5,0,29.14983164983165,44.44444444444444,24.197790227201992,40,2.1728571428570773
DIEGO,matrix_32_z_abs,Z_ABS,8,4,equal_candidate,6,6,100,99,42.10416666666667,37.5,41.666666666666664,37.5,25,62.5,0,31.618566618566618,55.55555555555556,27.332389832389833,42.857142857142854,2.0042857142856545
RENOVISOR,matrix_32_raw_0_1,RAW,8,4,equal_candidate,6,6,100,30,81.125,87.5,45.833333333333336,43.75,25,87.5,1,44.94107744107744,54.54545454545455,32.694342694342694,44.44444444444444,87.10452380952287
RENOVISOR,matrix_32_pos_0_1,POS,8,4,equal_candidate,6,6,100,22,71.27083333333334,75,47.916666666666664,50,0,75,1,52.302188552188554,70,34.7551495345613,44.44444444444444,88.452142857142
RENOVISOR,matrix_32_ext_0_1,EXT,8,4,equal_candidate,6,6,100,85,66.91666666666666,62.5,41.666666666666664,37.5,12.5,75,1,50.39529914529915,70,31.583231583231584,44.44444444444444,79.80857142856995
RENOVISOR,matrix_32_z_abs,Z_ABS,8,4,equal_candidate,6,6,100,68,69.625,75,56.25,56.25,25,87.5,2,30.374717874717874,44.44444444444444,32.50841750841751,44.44444444444444,39.225476190475256
WHY_EUROPE,matrix_32_raw_0_1,RAW,8,4,equal_candidate,6,6,100,32,63.20833333333333,62.5,41.666666666666664,43.75,12.5,62.5,0,42.66187516187516,54.54545454545455,31.512142541554308,54.54545454545455,72.89904761904636
WHY_EUROPE,matrix_32_pos_0_1,POS,8,4,equal_candidate,6,6,100,32,59.29166666666667,62.5,39.583333333333336,43.75,0,75,1,44.708532208532205,55.55555555555556,31.13335466276643,44.44444444444444,81.3135714285705
WHY_EUROPE,matrix_32_ext_0_1,EXT,8,4,equal_candidate,6,6,100,46,56.52083333333333,50,50,37.5,12.5,100,2,45.56878306878307,55.55555555555556,29.57657810598987,55.55555555555556,67.0154761904747
WHY_EUROPE,matrix_32_z_abs,Z_ABS,8,4,equal_candidate,6,6,100,6,50.91666666666666,50,47.916666666666664,43.75,25,75,1,35.916305916305916,54.54545454545455,31.798800328212092,44.44444444444444,6.053333333333149
WHY_LATAM,matrix_32_raw_0_1,RAW,8,4,equal_candidate,6,6,100,45,79.375,87.5,39.583333333333336,43.75,0,87.5,1,40.707671957671955,44.44444444444444,27.928226457638225,44.44444444444444,91.3240476190465
WHY_LATAM,matrix_32_pos_0_1,POS,8,4,equal_candidate,6,6,100,84,75.8125,75,39.583333333333336,43.75,0,75,1,38.39285714285714,42.857142857142854,29.665704665704666,44.44444444444444,92.44785714285652
WHY_LATAM,matrix_32_ext_0_1,EXT,8,4,equal_candidate,6,6,100,84,72.41666666666667,75,43.75,43.75,12.5,75,3,40.58201058201058,44.44444444444444,29.223924223924225,44.44444444444444,82.60428571428449
WHY_LATAM,matrix_32_z_abs,Z_ABS,8,4,equal_candidate,6,6,100,32,68.39583333333333,75,52.083333333333336,50,37.5,62.5,0,31.878905408317173,42.857142857142854,31.939492968904734,54.54545454545455,26.831666666665832
