"determinante","n_clusters"
"PROFITS",4
"CREDIT.SCORE",8
"RISK.PROFILE",8
"ADDED.VALUE",2
"FRUGALITY",2
"CLIMATE.PROTECTION",2
"LEGAL",4
"TRUST",8
"SAFETY",4
"COST.EFFICIENCY",8
"KNOWLEDGE",8
"OWN.COMPETENCE",8
"TECHNICAL.FIT",7
"ENVIRONMENTAL.CONCERNS",3
"SELF.SATISFACTION",8
"COMMITMENT",8
"ADHERENCE",8
"AUTARKY",3
"WELLBEING",6
"COZINESS",3
"RIGHTS.AND.DUTIES",5
"PEER.PRESSURE",0
"SUPPORT",0
"SOCIALISING",0
"AGREEMENT",0
"NOVELTY",0
"FUN",0
"RECOGNITION",0
"TRENDS",0
"AUTHORITY",0
"OWN.SIGNIFICANCE",0
"APPROVAL",2
