"cluster","best_match","pct_match"
"1","Uninterested",37.5
"2","Careful",70.5882352941177
"3",NA,NA
"4","Homo Economicus",52.9411764705882
"5","Stubborn",50
"6","Fearful",64.7058823529412
"7","Influencer",14.2857142857143
"8","Early Adopter",10.5263157894737
