bootstrap_id,target_sample_type,target_electoral_group,n,prop_bootstrap
80,voter,PFE_ESN,78,0.078
80,voter,SD,98,0.098
81,abstention,ABSTENTION,506,0.506
81,voter,ECR,53,0.053
81,voter,EPP,122,0.122
81,voter,GREENS_EFA_RENEW,88,0.088
81,voter,GUE_NGL,32,0.032
81,voter,NI,23,0.023
81,voter,PFE_ESN,78,0.078
81,voter,SD,98,0.098
82,abstention,ABSTENTION,506,0.506
82,voter,ECR,53,0.053
82,voter,EPP,122,0.122
82,voter,GREENS_EFA_RENEW,88,0.088
82,voter,GUE_NGL,32,0.032
82,voter,NI,23,0.023
82,voter,PFE_ESN,78,0.078
82,voter,SD,98,0.098
83,abstention,ABSTENTION,506,0.506
83,voter,ECR,53,0.053
83,voter,EPP,122,0.122
83,voter,GREENS_EFA_RENEW,88,0.088
83,voter,GUE_NGL,32,0.032
83,voter,NI,23,0.023
83,voter,PFE_ESN,78,0.078
83,voter,SD,98,0.098
84,abstention,ABSTENTION,506,0.506
84,voter,ECR,53,0.053
84,voter,EPP,122,0.122
84,voter,GREENS_EFA_RENEW,88,0.088
84,voter,GUE_NGL,32,0.032
84,voter,NI,23,0.023
84,voter,PFE_ESN,78,0.078
84,voter,SD,98,0.098
85,abstention,ABSTENTION,506,0.506
85,voter,ECR,53,0.053
85,voter,EPP,122,0.122
85,voter,GREENS_EFA_RENEW,88,0.088
85,voter,GUE_NGL,32,0.032
85,voter,NI,23,0.023
85,voter,PFE_ESN,78,0.078
85,voter,SD,98,0.098
86,abstention,ABSTENTION,506,0.506
86,voter,ECR,53,0.053
86,voter,EPP,122,0.122
86,voter,GREENS_EFA_RENEW,88,0.088
86,voter,GUE_NGL,32,0.032
86,voter,NI,23,0.023
86,voter,PFE_ESN,78,0.078
86,voter,SD,98,0.098
87,abstention,ABSTENTION,506,0.506
87,voter,ECR,53,0.053
87,voter,EPP,122,0.122
87,voter,GREENS_EFA_RENEW,88,0.088
87,voter,GUE_NGL,32,0.032
87,voter,NI,23,0.023
87,voter,PFE_ESN,78,0.078
87,voter,SD,98,0.098
88,abstention,ABSTENTION,506,0.506
88,voter,ECR,53,0.053
88,voter,EPP,122,0.122
88,voter,GREENS_EFA_RENEW,88,0.088
88,voter,GUE_NGL,32,0.032
88,voter,NI,23,0.023
88,voter,PFE_ESN,78,0.078
88,voter,SD,98,0.098
89,abstention,ABSTENTION,506,0.506
89,voter,ECR,53,0.053
89,voter,EPP,122,0.122
89,voter,GREENS_EFA_RENEW,88,0.088
89,voter,GUE_NGL,32,0.032
89,voter,NI,23,0.023
89,voter,PFE_ESN,78,0.078
89,voter,SD,98,0.098
90,abstention,ABSTENTION,506,0.506
90,voter,ECR,53,0.053
90,voter,EPP,122,0.122
90,voter,GREENS_EFA_RENEW,88,0.088
90,voter,GUE_NGL,32,0.032
90,voter,NI,23,0.023
90,voter,PFE_ESN,78,0.078
90,voter,SD,98,0.098
91,abstention,ABSTENTION,506,0.506
91,voter,ECR,53,0.053
91,voter,EPP,122,0.122
91,voter,GREENS_EFA_RENEW,88,0.088
91,voter,GUE_NGL,32,0.032
91,voter,NI,23,0.023
91,voter,PFE_ESN,78,0.078
91,voter,SD,98,0.098
92,abstention,ABSTENTION,506,0.506
92,voter,ECR,53,0.053
92,voter,EPP,122,0.122
92,voter,GREENS_EFA_RENEW,88,0.088
92,voter,GUE_NGL,32,0.032
92,voter,NI,23,0.023
92,voter,PFE_ESN,78,0.078
92,voter,SD,98,0.098
93,abstention,ABSTENTION,506,0.506
93,voter,ECR,53,0.053
93,voter,EPP,122,0.122
93,voter,GREENS_EFA_RENEW,88,0.088
93,voter,GUE_NGL,32,0.032
93,voter,NI,23,0.023
93,voter,PFE_ESN,78,0.078
93,voter,SD,98,0.098
94,abstention,ABSTENTION,506,0.506
94,voter,ECR,53,0.053
94,voter,EPP,122,0.122
94,voter,GREENS_EFA_RENEW,88,0.088
94,voter,GUE_NGL,32,0.032
94,voter,NI,23,0.023
94,voter,PFE_ESN,78,0.078
94,voter,SD,98,0.098
95,abstention,ABSTENTION,506,0.506
95,voter,ECR,53,0.053
95,voter,EPP,122,0.122
95,voter,GREENS_EFA_RENEW,88,0.088
95,voter,GUE_NGL,32,0.032
95,voter,NI,23,0.023
95,voter,PFE_ESN,78,0.078
95,voter,SD,98,0.098
96,abstention,ABSTENTION,506,0.506
96,voter,ECR,53,0.053
96,voter,EPP,122,0.122
96,voter,GREENS_EFA_RENEW,88,0.088
96,voter,GUE_NGL,32,0.032
