bootstrap_id,target_sample_type,usable_for_main_analysis,usable_for_clustering,row_quality_final,n,prop_within_type
1,abstention,FALSE,FALSE,no_determinants,25,0.04940711462450593
1,abstention,FALSE,FALSE,suspicious_determinants,3,0.005928853754940711
1,abstention,FALSE,FALSE,too_many_missing_determinants,5,0.009881422924901186
1,abstention,TRUE,TRUE,usable_complete,387,0.7648221343873518
1,abstention,TRUE,TRUE,usable_complete_limited_metadata,24,0.04743083003952569
1,abstention,TRUE,TRUE,usable_partial,57,0.11264822134387352
1,abstention,TRUE,TRUE,usable_partial_limited_metadata,5,0.009881422924901186
1,voter,FALSE,FALSE,no_determinants,72,0.145748987854251
1,voter,FALSE,FALSE,suspicious_determinants,10,0.020242914979757085
1,voter,FALSE,FALSE,too_many_missing_determinants,29,0.058704453441295545
1,voter,TRUE,TRUE,usable_complete,241,0.48785425101214575
1,voter,TRUE,TRUE,usable_complete_limited_metadata,6,0.012145748987854251
1,voter,TRUE,TRUE,usable_partial,135,0.2732793522267207
1,voter,TRUE,TRUE,usable_partial_limited_metadata,1,0.0020242914979757085
2,abstention,FALSE,FALSE,no_determinants,31,0.06126482213438735
2,abstention,FALSE,FALSE,suspicious_determinants,2,0.003952569169960474
2,abstention,FALSE,FALSE,too_many_missing_determinants,1,0.001976284584980237
2,abstention,TRUE,TRUE,usable_complete,398,0.7865612648221344
2,abstention,TRUE,TRUE,usable_complete_limited_metadata,21,0.041501976284584984
2,abstention,TRUE,TRUE,usable_partial,51,0.1007905138339921
2,abstention,TRUE,TRUE,usable_partial_limited_metadata,2,0.003952569169960474
2,voter,FALSE,FALSE,no_determinants,87,0.17611336032388664
2,voter,FALSE,FALSE,suspicious_determinants,1,0.0020242914979757085
2,voter,FALSE,FALSE,too_many_missing_determinants,30,0.06072874493927125
2,voter,TRUE,TRUE,usable_complete,259,0.5242914979757085
2,voter,TRUE,TRUE,usable_complete_limited_metadata,3,0.006072874493927126
2,voter,TRUE,TRUE,usable_partial,114,0.23076923076923078
3,abstention,FALSE,FALSE,no_determinants,35,0.0691699604743083
