electoral_group_model,n_pool,target_n_in_bootstrap,target_share_global,pool_empty,pool_to_target_ratio,target_to_pool_ratio,pool_diagnostic
EPP,147,122,0.12174280155642025,FALSE,1.2049180327868851,0.8299319727891157,good_pool
SD,178,98,0.09802791828793776,FALSE,1.816326530612245,0.550561797752809,good_pool
GREENS_EFA_RENEW,155,88,0.08746663424124514,FALSE,1.7613636363636365,0.567741935483871,good_pool
PFE_ESN,30,78,0.07767344357976655,FALSE,0.38461538461538464,2.6,weak_high_repetition
ECR,102,53,0.053286478599221795,FALSE,1.9245283018867925,0.5196078431372549,good_pool
GUE_NGL,136,32,0.032259922178988334,FALSE,4.25,0.23529411764705882,good_pool
NI,101,23,0.023042801556420234,FALSE,4.391304347826087,0.22772277227722773,good_pool
