"D","assigned_pct","unassigned_pct"
0,0.0160651172753561,99.9839348827246
1,0.123165899111064,99.8768341008889
2,2.22769626218271,97.7723037378173
3,3.28263896326443,96.7173610367356
4,22.978472742851,77.021527257149
5,24.8795116204348,75.1204883795652
6,54.3750669379886,45.6249330620114
7,55.5853057727321,44.4146942272679
8,79.3241940666167,20.6758059333833
9,80.7111491913891,19.2888508086109
10,93.8417050444468,6.15829495555318
11,94.4896647745528,5.51033522544715
12,98.0936060833244,1.90639391667559
13,98.5648495234015,1.43515047659848
14,99.6733426154011,0.326657384598908
15,99.7376030845025,0.262396915497483
16,99.9625147263575,0.0374852736424976
17,99.9839348827246,0.0160651172753561
18,100,0
19,100,0
20,100,0
