consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_15_self_satisfaction,61,0.61,0.29336388956426934
1,det_16_commitment,59,0.59,0.30347257932545213
1,det_17_adherence,56,0.56,0.24698219856856474
1,det_02_credit_score,50,0.5,0.24143566659266624
1,det_13_technical_fit,43,0.43,0.2200223488062272
1,det_04_added_value,42,0.42,0.1990684193274089
1,det_32_own_significance,41,0.41,0.21490433137287296
1,det_10_cost_efficiency,40,0.4,0.20174541276022634
2,det_23_support,63,0.63,0.2649303562512466
2,det_21_rights_and_duties,51,0.51,0.26691093513459085
2,det_26_novelty,51,0.51,0.21021166887878917
2,det_29_trends,48,0.48,0.21761155354450962
2,det_14_environmental_concerns,40,0.4,0.25773071680496773
2,det_03_risk_profile,36,0.36,0.18435537413688904
2,det_13_technical_fit,36,0.36,0.18232173586270328
2,det_02_credit_score,35,0.35,0.1799258221049629
3,det_07_legal,72,0.72,0.36876925108764746
3,det_21_rights_and_duties,57,0.57,0.28687433310229166
3,det_13_technical_fit,45,0.45,0.22077390609951372
3,det_03_risk_profile,42,0.42,0.20762831871916723
3,det_08_trust,42,0.42,0.20474653541896623
3,det_06_climate_protection,41,0.41,0.22404754485005043
3,det_14_environmental_concerns,40,0.4,0.2348056764563996
3,det_15_self_satisfaction,30,0.3,0.1683468630498004
4,det_09_safety,88,0.88,0.43211201007014655
4,det_20_coziness,87,0.87,0.5286807963789844
4,det_19_wellbeing,87,0.87,0.5196748637519933
4,det_05_frugality,48,0.48,0.22225881945602824
4,det_01_profits,42,0.42,0.19819441743989896
4,det_18_autonomy,40,0.4,0.19790832964857497
4,det_04_added_value,38,0.38,0.20172866890777247
4,det_26_novelty,28,0.28,0.16489710857200082
5,det_25_agreement,51,0.51,0.23121696802086425
5,det_05_frugality,48,0.48,0.2226185179780337
5,det_14_environmental_concerns,47,0.47,0.2651261215136042
5,det_22_peer_pressure,47,0.47,0.2316661626067798
5,det_06_climate_protection,43,0.43,0.28553985085971967
5,det_27_fun,42,0.42,0.2000545760040999
5,det_32_own_significance,41,0.41,0.22612381318371372
5,det_12_own_competence,38,0.38,0.19517862980910658
6,det_31_approval,98,0.98,0.5912228492860914
6,det_24_socialising,97,0.97,0.5338375475963154
6,det_28_recognition,88,0.88,0.4703906374435041
6,det_30_authority,80,0.8,0.3041635204187958
6,det_29_trends,60,0.6,0.24085984779609113
6,det_27_fun,60,0.6,0.22426914795316183
6,det_25_agreement,35,0.35,0.16993440318061956
6,det_11_knowledge,31,0.31,0.1589618113335459
