"cluster","n_active_dets","active_determinants"
"cluster_1",0,""
"cluster_2",3,"COMPETENCE; AUTONOMY; PHYSICALNESS"
"cluster_3",2,"STIMULATION; POPULARITY"
"cluster_4",1,"POPULARITY"
"cluster_5",3,"COMPETENCE; AUTONOMY; POPULARITY"
"cluster_6",1,"COMPETENCE"
