"archetype","best_pattern","best_pattern_idx","best_dist","best_pattern_freq"
"Early Adopter","pattern_11964",11964,5,2
"Uninterested","pattern_11784",11784,5,1
"Homo Economicus","pattern_2450",2450,4,3
"Fearful","pattern_18",18,4,17612
"Stubborn","pattern_1007",1007,4,23
"Influencer","pattern_3261",3261,7,51
"Careful","pattern_1671",1671,3,95
