analysis_sample,determinant,sample_mean,sample_sd_original,sample_sd_used,sd_replaced
EUROPE,det_01_profits,52.096020524813504,27.311986789081985,27.311986789081985,FALSE
EUROPE,det_02_credit_score,55.17573336415181,28.096916791810933,28.096916791810933,FALSE
EUROPE,det_03_risk_profile,58.9892284114311,24.718237801157546,24.718237801157546,FALSE
EUROPE,det_04_added_value,57.6810867456275,23.57760034924425,23.57760034924425,FALSE
EUROPE,det_05_frugality,52.384263532129665,26.350115141981657,26.350115141981657,FALSE
EUROPE,det_06_climate_protection,57.73733479847527,25.275531693766567,25.275531693766567,FALSE
EUROPE,det_07_legal,61.42734949937854,25.85327805712596,25.85327805712596,FALSE
EUROPE,det_08_trust,68.91413760509992,22.372857542471777,22.372857542471777,FALSE
EUROPE,det_09_safety,63.69053515725086,23.75501075932112,23.75501075932112,FALSE
EUROPE,det_10_cost_efficiency,69.38888318646919,23.193260605741454,23.193260605741454,FALSE
EUROPE,det_11_knowledge,71.52303782872903,21.643722298504418,21.643722298504418,FALSE
EUROPE,det_12_own_competence,59.74308003544037,24.057080661338453,24.057080661338453,FALSE
EUROPE,det_13_technical_fit,66.41786509643231,23.260901554169653,23.260901554169653,FALSE
EUROPE,det_14_environmental_concerns,63.745503120909994,23.5228051144109,23.5228051144109,FALSE
EUROPE,det_15_self_satisfaction,69.91898195965206,21.475852578401792,21.475852578401792,FALSE
EUROPE,det_16_commitment,68.22952178962012,20.64386349288237,20.64386349288237,FALSE
EUROPE,det_17_adherence,70.93264700891608,20.372499520991916,20.372499520991916,FALSE
EUROPE,det_18_autonomy,58.08583247502629,23.706959733447526,23.706959733447526,FALSE
EUROPE,det_19_wellbeing,62.56805718887999,24.691796970517608,24.691796970517608,FALSE
EUROPE,det_20_coziness,58.75804969528049,24.035339060270097,24.035339060270097,FALSE
EUROPE,det_21_rights_and_duties,59.78697791409746,24.71829404117465,24.71829404117465,FALSE
EUROPE,det_22_peer_pressure,39.59725891349858,25.72511386250932,25.72511386250932,FALSE
EUROPE,det_23_support,45.65351039046184,25.45699012963994,25.45699012963994,FALSE
EUROPE,det_24_socialising,36.03142674841453,25.99730878404115,25.99730878404115,FALSE
EUROPE,det_25_agreement,49.71703426258826,26.788951962289914,26.788951962289914,FALSE
EUROPE,det_26_novelty,53.60944186982039,26.18807610868701,26.18807610868701,FALSE
EUROPE,det_27_fun,48.32534491773641,27.081056660975865,27.081056660975865,FALSE
EUROPE,det_28_recognition,31.523568814760864,25.579259180591666,25.579259180591666,FALSE
EUROPE,det_29_trends,32.939442043202966,24.20971397484532,24.20971397484532,FALSE
EUROPE,det_30_authority,37.84003442562752,25.615551589439892,25.615551589439892,FALSE
EUROPE,det_31_approval,30.025600726177114,24.377344659396186,24.377344659396186,FALSE
EUROPE,det_32_own_significance,59.069287048668194,24.158861192580837,24.158861192580837,FALSE
