"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,1,2,0.00025
3,7,225,0.028125
4,45,3556,0.4445
5,190,25101,3.137625
6,574,174739,21.842375
7,1348,216136,27.017
8,2549,264084,33.0105
9,4298,344416,43.052
10,6599,409589,51.198625
11,11891,476488,59.561
12,14620,513021,64.127625
13,23747,656069,82.008625
14,25215,666047,83.255875
15,30929,795509,99.438625
16,31117,795841,99.480125
17,32039,799791,99.973875
18,32060,799813,99.976625
19,32143,799989,99.998625
20,32144,799990,99.99875
