"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,1,1,0.000125
3,19,111,0.013875
4,65,958,0.11975
5,420,17726,2.21575
6,760,22877,2.859625
7,2984,106496,13.312
8,3991,114813,14.351625
9,9197,210275,26.284375
10,10497,233929,29.241125
11,16359,312984,39.123
12,17692,459113,57.389125
13,21724,501366,62.67075
14,23190,529743,66.217875
15,26001,587236,73.4045
16,27498,643005,80.375625
17,29564,742242,92.78025
18,30591,785136,98.142
19,31624,797724,99.7155
20,31907,799495,99.936875
