"K","archetypes_used"
1,"Stubborn"
2,"Stubborn | Influencer"
3,"Stubborn | Influencer | Early Adopter"
4,"Stubborn | Influencer | Early Adopter | Fearful"
5,"Stubborn | Influencer | Early Adopter | Fearful | Careful"
6,"Stubborn | Influencer | Early Adopter | Fearful | Careful | Activist"
7,"Stubborn | Influencer | Early Adopter | Fearful | Careful | Activist | Homo Economicus"
8,"Stubborn | Influencer | Early Adopter | Fearful | Careful | Activist | Homo Economicus | Uninterested"
