"cluster","Early.Adopter","Uninterested","Homo.Economicus","Fearful","Stubborn","Influencer","Careful","Activist"
"cluster_1",0,0,0,0,0,0,0,0
"cluster_2",10,10,0,0,0,25,0,0
"cluster_3",16.6666666666667,16.6666666666667,41.1764705882353,60,20,11.1111111111111,58.8235294117647,31.25
"cluster_4",23.5294117647059,16.6666666666667,33.3333333333333,41.1764705882353,20,17.6470588235294,28.5714285714286,23.5294117647059
"cluster_5",23.5294117647059,16.6666666666667,50,50,20,5.26315789473684,58.8235294117647,40
