"cluster","n_patterns","pct_total_patterns","pct_rest_patterns"
"1",836,2.60014929086838,100
"2",1554,4.83329186364767,97.3998507091316
"3",1639,5.09766110972879,92.566558845484
"4",1844,5.73525752674795,87.4688977357552
"5",1928,5.99651654640458,81.7336402090072
"6",1619,5.03545658123911,75.7371236626026
"7",1863,5.79435182881314,70.7016670813635
"Restantes",20869,64.9073152525504,0
