"archetype","best_pattern","best_pattern_idx","best_dist","best_pattern_freq"
"expert_4","pattern_250",250,0,215
"expert_3","pattern_6888",6888,3,7
"expert_8","pattern_4647",4647,5,7
"expert_1","pattern_4870",4870,0,5
"expert_9","pattern_2159",2159,6,5
"expert_5","pattern_2800",2800,2,3
"expert_2","pattern_8394",8394,8,2
"expert_6","pattern_3987",3987,6,2
"expert_7","pattern_1688",1688,9,1
