"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,1,3,0.000375
3,36,6503,0.812875
4,72,7548,0.9435
5,714,190413,23.801625
6,943,201252,25.1565
7,4043,566438,70.80475
8,4434,574537,71.817125
9,10451,764133,95.516625
10,10645,764677,95.584625
11,15519,795302,99.41275
12,15630,795547,99.443375
13,17434,798803,99.850375
14,17483,798938,99.86725
15,17880,799573,99.946625
16,17888,799587,99.948375
17,18002,799819,99.977375
18,18007,799866,99.98325
19,18041,799993,99.999125
20,18042,799994,99.99925
